III LR length (mm);rel dist top tip
3.17;61.0949395432154
1.41;60.4679802955665
2.82;60.2104791759964
2.95;58.1168831168831
1.87;55.1388266905508
1.49;54.5790416480072
1.08;53.2355575459024
0.55;50.2127183161666
0.42;48.2422749664129
0.18;45.9583519928347
0.11;45.6112852664577
0.17;42.3533363188536
0.1;40.4836542767577
0.19;37.7071204657412
0.15;35.1321092700403
30.99;97.5526973919257
19.98;93.2475884244373
3.34;91.7113254733834
6.96;90.7824222936763
13.0;89.2997499106824
23.6;86.6202215076813
12.12;79.6355841371919
9.22;75.9378349410504
6.96;73.9013933547696
11.02;71.1682743837085
8.2;69.935691318328
0.07;66.59521257592
8.22;62.9153269024652
2.42;57.1096820292962
5.51;55.7163272597356
3.45;53.4833869239014
4.48;50.9824937477671
1.51;49.6427295462665
4.25;46.0342979635584
0.34;42.5866380850304
0.88;41.6934619506967
1.92;40.8181493390497
1.26;39.2818863879957
1.37;35.6555912826009
0.29;34.119328331547
0.26;32.4580207216863
0.;0.
