dist Col1,bn Col1,dist Col2,nb Col2,dist Col3,nb col3,dist Col4,nb col4,dist colesk11,nb colesk11,dist colesk2,nb colesk2,dist colirx1,nb irx1,dist 1,nb 1,dist 2,nb 2,dist 4,nb 4,dist 5,nb 5,dist 7,nb 7,dist 8,nb 8,dist II 1,nb dist II 1,dist II 4,nb II 4,dist II 7,nb II 7,dist II col2,nb II Col2,dist II Col4,nb II col4,dist II col22,nb II col22,dist II Col23,nb II Col23,dist II colesk1,nb II colesk1,dist II colirx,nb II colirx
59.52,24,13.06,6,12.11,2,,,70.27,25,38.02,9,78.56,40,53.96,18,46.94,5,45.55,7,,,,,,,,,,,,,31.03,10,22.8,8,,,20.99,,,,50.42,17
57.17,23,12.78,5,11.11,1,,,69.04,24,37.42,8,76.74,39,53.49,17,45.28,4,45.42,6,,,,,,,,,,,,,30.15,9,20.99,7,,,,,,,48.79,16
56.41,22,11.53,4,,,,,67.38,23,34.82,7,75.77,38,51.94,16,42.75,3,43.36,5,,,,,,,,,,,,,29.39,8,19.67,6,,,,,,,48.15,15
55.4,21,10.85,3,,,,,66.07,22,32.62,6,74.56,37,50.42,15,40.42,2,42.99,4,,,,,,,,,,,,,28.82,7,19.58,5,,,,,,,47.72,14
51.82,20,9.52,2,,,,,65.72,21,30.65,5,73.31,36,50.14,14,38.09,1,39.94,3,,,,,,,,,,,,,28.72,6,18.84,4,,,,,,,46.23,13
51.44,19,8.47,1,,,,,64.54,20,30.05,4,70.51,35,47.68,13,,,37.91,2,,,,,,,,,,,,,26.54,5,17.91,3,,,,,,,45.07,12
50.16,18,,,,,,,64.13,19,24.67,3,68.51,34,46.52,12,,,35.46,1,,,,,,,,,,,,,25.45,4,17.24,2,,,,,,,42.85,11
47.96,17,,,,,,,60.32,18,22.33,2,68.21,33,45.83,11,,,,,,,,,,,,,,,,,23.37,3,15.23,1,,,,,,,41.37,10
47.15,16,,,,,,,58.1,17,18.82,1,66.85,32,45.37,10,,,,,,,,,,,,,,,,,22.96,2,,,,,,,,,40.7,9
46.91,15,,,,,,,57.78,16,,,66.67,31,44.54,9,,,,,,,,,,,,,,,,,21.02,1,,,,,,,,,39.81,8
45.69,14,,,,,,,55.09,15,,,64.7,30,43.28,8,,,,,,,,,,,,,,,,,,,,,,,,,,,37.42,7
44.22,13,,,,,,,53.36,14,,,63.45,29,40.63,7,,,,,,,,,,,,,,,,,,,,,,,,,,,36.82,6
42.33,12,,,,,,,53.27,13,,,61.72,28,37.76,6,,,,,,,,,,,,,,,,,,,,,,,,,,,33.65,5
40.64,11,,,,,,,52.15,12,,,61.37,27,37.12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,32.62,4
39.41,10,,,,,,,50.87,11,,,59.03,26,35.95,4,,,,,,,,,,,,,,,,,,,,,,,,,,,32.51,3
38.08,9,,,,,,,47.48,10,,,56.72,25,33.72,3,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,2
35.08,8,,,,,,,44.94,9,,,54.55,24,31.58,2,,,,,,,,,,,,,,,,,,,,,,,,,,,28.54,1
33.91,7,,,,,,,43.49,8,,,54.4,23,29.23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.83,6,,,,,,,43.09,7,,,53.13,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.73,5,,,,,,,41.39,6,,,52.52,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.2,4,,,,,,,38.82,5,,,51.27,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.35,3,,,,,,,35.49,4,,,50.45,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.42,2,,,,,,,34.38,3,,,48.63,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.45,1,,,,,,,33.44,2,,,47.15,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,32.47,1,,,46.96,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,45.41,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,45.06,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,44.04,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,43.12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,41.03,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,39.38,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,38.63,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,37.34,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,36.55,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,36.32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,35.51,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,33.99,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,31.22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,29.46,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,27.68,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
