dist to base (m),n Col0,95 - Col,95 + Col,esk1-1,95 - esk1-1,95 + esk1-1,esk1-5,95 - esk1-5,95 + esk1-5
0.084,14.5,9.16,19.8,3.29,1.31,5.26,6,3.55,8.45
0.085,14.2,8.52,19.8,3,1.49,4.51,5.43,2.99,7.87
0.086,14,9.5,18.5,2.86,1.05,4.66,5.43,3.84,7.02
0.087,13.2,8.14,18.2,2.29,1.13,3.45,4.86,2.9,6.81
0.088,12,7.96,16,1.71,1.02,2.41,5,2.86,7.14
0.089,11.3,7.37,15.3,2,0.932,3.07,4.43,1.99,6.87
0.09,11.3,7.1,15.6,1.43,0.701,2.16,4.43,2.05,6.81
0.091,10.2,5.74,14.6,1.71,0.835,2.59,4,2.07,5.93
0.092,9.5,5.26,13.7,1.71,0.555,2.87,3.86,2.05,5.66
0.093,9.33,5.1,13.6,1.43,0.701,2.16,3.86,1.69,6.02
0.094,9.33,5.1,13.6,1.43,0.701,2.16,3.14,1.5,4.78
0.095,9.5,5.94,13.1,1,0.466,1.53,2.71,0.531,4.9
0.096,8.83,5.42,12.2,1.14,0.505,1.78,2.14,0.115,4.17
0.097,8.5,5.27,11.7,1.14,0.311,1.97,1.71,0.331,3.1
0.098,7.83,5.49,10.2,1,0.466,1.53,2,0.311,3.69
0.099,7,3.96,10,0.857,0.508,1.21,1.43,0.701,2.16
0.1,5.83,3.8,7.87,0.857,0.508,1.21,1.29,0.587,1.98
0.101,5.33,2.97,7.7,0.857,0.508,1.21,1.43,0.701,2.16
0.102,5.33,2.88,7.79,0.857,0.508,1.21,1.43,0.38,2.48
0.103,4.67,2.12,7.21,1,0.466,1.53,1.43,0.38,2.48
0.104,3.67,2.09,5.25,0.857,0.508,1.21,1.29,0.587,1.98
0.105,4,1.52,6.48,0.857,0.508,1.21,1,1,1
0.106,3.5,0.951,6.05,1,0.466,1.53,1.14,0.793,1.49
0.107,3.33,0.971,5.7,0.857,0.508,1.21,1,1,1
0.108,3.33,1.5,5.17,0.857,0.508,1.21,1,1,1
0.109,2.67,0.713,4.62,0.714,0.263,1.17,1.14,0.793,1.49
0.11,2.67,0.829,4.5,0.714,0.263,1.17,1.14,0.793,1.49
0.111,2.17,0.94,3.39,0.714,0.263,1.17,0.857,0.508,1.21
0.112,2,1.06,2.94,0.714,0.263,1.17,0.857,0.508,1.21
0.113,1.67,1.12,2.21,0.429,-0.0658,0.923,1,0.466,1.53
0.114,2,1.06,2.94,0.429,-0.0658,0.923,0.714,0.263,1.17
0.115,1.17,0.738,1.6,0.429,-0.0658,0.923,0.714,0.263,1.17
0.116,1.33,0.791,1.88,0.429,-0.0658,0.923,0.714,0.263,1.17
0.117,1.5,0.925,2.07,0.429,-0.0658,0.923,0.571,0.0771,1.07
0.118,1.17,0.738,1.6,0.429,-0.0658,0.923,0.571,0.0771,1.07
0.119,1,1,1,0.286,-0.166,0.737,0.571,0.0771,1.07
0.12,1,1,1,0.286,-0.166,0.737,0.571,0.0771,1.07
0.121,1,1,1,0.286,-0.166,0.737,0.571,0.0771,1.07
0.122,1.17,0.738,1.6,0.286,-0.166,0.737,0.571,0.0771,1.07
0.123,1,1,1,0.143,-0.207,0.492,0.429,-0.0658,0.923
0.124,1,1,1,0.143,-0.207,0.492,0.429,-0.0658,0.923
0.125,1,1,1,0.143,-0.207,0.492,0.429,-0.0658,0.923
0.126,1,1,1,0.143,-0.207,0.492,0.429,-0.0658,0.923
0.127,1,1,1,0.143,-0.207,0.492,0.429,-0.0658,0.923
0.128,1,1,1,0.143,-0.207,0.492,0.286,-0.166,0.737
0.129,1,1,1,0.143,-0.207,0.492,0.286,-0.166,0.737
0.13,1,1,1,0,0,0,0.286,-0.166,0.737
0.131,1,1,1,0,0,0,0.286,-0.166,0.737
0.132,0.833,0.405,1.26,0,0,0,0.286,-0.166,0.737
0.133,0.833,0.405,1.26,0,0,0,0.143,-0.207,0.492
0.134,0.833,0.405,1.26,0,0,0,0.143,-0.207,0.492
0.135,0.667,0.125,1.21,0,0,0,0.143,-0.207,0.492
0.136,0.5,-0.0748,1.07,0,0,0,0.143,-0.207,0.492
0.137,0.5,-0.0748,1.07,0,0,0,0.143,-0.207,0.492
0.138,0.5,-0.0748,1.07,0,0,0,0.143,-0.207,0.492
0.139,0.5,-0.0748,1.07,0,0,0,0.143,-0.207,0.492
0.14,0.5,-0.0748,1.07,0,0,0,0,0,0
0.141,0.5,-0.0748,1.07,0,0,0,0,0,0
0.142,0.5,-0.0748,1.07,0,0,0,0,0,0
0.143,0.5,-0.0748,1.07,0,0,0,0,0,0
0.144,0.333,-0.209,0.875,0,0,0,0,0,0
0.145,0.333,-0.209,0.875,0,0,0,0,0,0
0.146,0.333,-0.209,0.875,0,0,0,0,0,0
0.147,0.167,-0.262,0.595,0,0,0,0,0,0
0.148,0.167,-0.262,0.595,0,0,0,0,0,0
0.149,0.167,-0.262,0.595,0,0,0,0,0,0
0.15,0.167,-0.262,0.595,0,0,0,0,0,0
