index,primary_length,k0,axfold,radfold,delta,nude_length,length,surface,Jv,i3,i4,i6,i8,seed
80,0.1,50,1.0,1.0,0.0017,0.036,1.1203,0.000965769564011,0.0138788508324,22,14,15,5,6530125
81,0.1,50,1.0,1.0,0.0018,0.009,0.5796,0.000539361193139,0.0078280996428,11,7,6,3,1157611
82,0.1,50,1.0,1.0,0.0018,0.012,1.0745,0.000883575447096,0.012866004472,18,17,8,5,14257881
83,0.1,50,1.0,1.0,0.0018,0.015,1.048,0.000875122049584,0.0126653327853,20,21,13,5,91137454
84,0.1,50,1.0,1.0,0.0018,0.018,1.1816,0.000988657951448,0.0142594996598,23,15,12,6,5951967
85,0.1,50,1.0,1.0,0.0018,0.021,1.175,0.000981532819309,0.0141930562241,19,15,13,6,69005768
86,0.1,50,1.0,1.0,0.0018,0.024,1.6094,0.00128424537768,0.0184819378658,35,21,13,9,53589833
87,0.1,50,1.0,1.0,0.0018,0.027,1.1265,0.000936969955837,0.0135718784098,19,15,14,5,99105040
88,0.1,50,1.0,1.0,0.0018,0.03,1.2478,0.00106040187456,0.0152738808547,22,22,13,6,7310749
89,0.1,50,1.0,1.0,0.0018,0.033,0.7357,0.000665326492177,0.00965767908052,12,13,9,3,66498604
90,0.1,50,1.0,1.0,0.0018,0.036,0.906,0.000776337810184,0.0112807295894,17,12,7,5,14135632
91,0.1,50,1.0,1.0,0.0019,0.009,0.9819,0.000866299200776,0.0125264201685,15,15,11,3,61649924
92,0.1,50,1.0,1.0,0.0019,0.012,1.304,0.0010693038915,0.0154985253428,29,17,14,6,80543257
93,0.1,50,1.0,1.0,0.0019,0.015,1.0118,0.000845785857385,0.0122852694364,14,20,11,4,6969096
94,0.1,50,1.0,1.0,0.0019,0.018,1.159,0.000950358167089,0.0138064768137,21,17,12,5,44788028
95,0.1,50,1.0,1.0,0.0019,0.021,0.8078,0.000697002542585,0.0101602202511,13,7,9,3,97673781
96,0.1,50,1.0,1.0,0.0019,0.024,1.0366,0.000877470704252,0.0127369770184,24,16,10,5,96111887
97,0.1,50,1.0,1.0,0.0019,0.027,1.1417,0.000952689228838,0.0137311765382,22,18,12,5,50177575
98,0.1,50,1.0,1.0,0.0019,0.03,1.212,0.000994815473049,0.0143911736515,20,17,15,6,46640934
99,0.1,50,1.0,1.0,0.0019,0.033,1.3473,0.00111092873753,0.0160439840845,29,26,12,5,11773527
100,0.1,50,1.0,1.0,0.0019,0.036,1.0002,0.000853394794792,0.0123564283599,18,15,8,5,75206710
101,0.1,50,1.0,1.0,0.002,0.009,1.1285,0.000950630857332,0.0137673223246,20,17,15,5,70687657
102,0.1,50,1.0,1.0,0.002,0.012,0.7794,0.000690308436959,0.00999714993371,13,11,12,4,7219768
103,0.1,50,1.0,1.0,0.002,0.015,1.1804,0.00097580632422,0.0141247869163,22,16,13,7,8237258
104,0.1,50,1.0,1.0,0.002,0.018,0.9221,0.000769441385991,0.011178128968,13,20,9,4,7336193
105,0.1,50,1.0,1.0,0.002,0.021,0.9539,0.000805462887357,0.0117205324464,21,12,11,4,84686776
106,0.1,50,1.0,1.0,0.002,0.024,0.7778,0.000695313622374,0.0100824848,14,12,10,5,33272845
107,0.1,50,1.0,1.0,0.002,0.027,0.8266,0.000702060506757,0.0102658581993,20,12,5,3,40205028
108,0.1,50,1.0,1.0,0.002,0.03,0.7566,0.00068117771207,0.00986791733077,12,11,11,3,79440091
109,0.1,50,1.0,1.0,0.002,0.033,0.7556,0.000666945040712,0.00971710869999,11,12,9,4,3598526
110,0.1,50,1.0,1.0,0.002,0.036,0.8629,0.000750115564624,0.0109220214833,15,11,11,3,13486832
111,0.1,50,1.0,1.0,0.0021,0.009,0.8759,0.000753423033369,0.0109552449139,16,15,11,3,33557201
112,0.1,50,1.0,1.0,0.0021,0.012,0.8671,0.000752569776804,0.0108608337891,14,17,11,5,22733025
113,0.1,50,1.0,1.0,0.0021,0.015,0.905,0.000791265401837,0.0114745210995,19,11,11,4,44996470
114,0.1,50,1.0,1.0,0.0021,0.018,0.9988,0.000823346089379,0.0119018364348,13,18,12,4,35363057
115,0.1,50,1.0,1.0,0.0021,0.021,0.9468,0.000824472036186,0.0118507077273,12,16,11,5,72138078
116,0.1,50,1.0,1.0,0.0021,0.024,0.8636,0.000735689371158,0.0107538419314,14,14,7,3,50779828
117,0.1,50,1.0,1.0,0.0021,0.027,0.8386,0.000702825798727,0.010195823466,13,12,12,4,87824157
118,0.1,50,1.0,1.0,0.0021,0.03,0.7092,0.000631064282697,0.00916832321024,11,12,8,2,11631309
119,0.1,50,1.0,1.0,0.0021,0.033,1.0514,0.000859508334096,0.0125258569448,19,15,10,4,42526455
120,0.1,50,1.0,1.0,0.0021,0.036,0.9083,0.000775616500511,0.0112495164418,14,14,10,5,68723943
121,0.1,50,1.0,1.0,0.0022,0.009,0.8078,0.000708851373437,0.0102288961491,14,10,11,5,88825436
122,0.1,50,1.0,1.0,0.0022,0.012,0.8948,0.000778967951554,0.0112331473153,13,17,12,3,22586792
123,0.1,50,1.0,1.0,0.0022,0.015,0.5886,0.000527934592339,0.00771993138517,12,8,7,1,34551805
124,0.1,50,1.0,1.0,0.0022,0.018,1.113,0.000883373128529,0.0128281547287,21,16,12,6,31406291
125,0.1,50,1.0,1.0,0.0022,0.021,0.6998,0.00063348330904,0.00921503803977,11,10,8,2,16099819
126,0.1,50,1.0,1.0,0.0022,0.024,0.7271,0.000625724831823,0.0091194667331,10,14,7,2,87059753
127,0.1,50,1.0,1.0,0.0022,0.027,0.8766,0.000741134379545,0.0107853977025,16,10,10,4,46789440
