LR length (mm),relative distance to tip (%),III order root length,relative distance to tip (%)
3.13,64.99,,
0.92,64.61,,
2.13,62.15,,
0.5,61.23,,
3.83,59.79,,
1.76,59.63,,
1.68,58.39,,
3.6,56.03,,
3.91,54.19,,
0.19,53.72,,
0.5,52.16,,
0.57,50.63,,
2.6,50.35,,
0.73,47.88,,
1.8,46.72,,
0.49,46.02,,
0.61,45.56,,
0.83,44.73,,
0.94,43.46,,
0.13,40.8,,
0.12,37.92,,
0.08,37.28,,
0.06,36.1,,
0.18,33.86,,
0.08,31.71,,
0.12,29.35,,
82.09,95.93,,
75.05,93.96,,
67.5,91.58,,
14.73,88.83,,
62.26,88.35,,
44.91,86.83,,
18.87,85.4,,
85.54,84.53,,
58.05,82.7,,
62.1,81.03,,
0.76,79.67,,
79.65,78.08,,
56.99,75.3,,
43.47,75.08,,
55.55,74.59,,
58.12,73.03,,
5.13,72.12,,
1.38,70.02,,
6.85,69.52,,
0.32,66.68,,
0.78,64.06,,
1.56,63.41,,
0.86,62.64,,
0.65,61.37,,
4.92,60.55,,
0.27,59.39,,
0.15,57.98,,
3.9,56.26,,
1.7,54.35,,
1.98,52.44,,
1.82,50.72,,
0.69,48.97,,
1.17,47.73,,
1.05,46.09,,
0.84,45.65,,
0.31,44.25,,
0.86,42.69,,
0.77,40.3,,
0.46,38.11,,
0.4,35.91,,
108.42,92.85,,
93.06,90.86,,
81.59,89.38,,
56.88,87.94,,
46.8,87.44,,
19.92,87.04,,
51.87,86.18,,
10.53,85.9,,
15.49,83.96,,
16.53,83.69,,
20.87,81.73,,
18.57,79.36,,
13.09,74.85,,
15.47,74.26,,
13.26,72.13,,
3.68,71.68,,
11.36,70.41,,
6.55,69.22,,
10.5,68.52,,
0.55,66.51,,
7.68,66.21,,
7.46,64.91,,
3.91,63.28,,
9.18,61.56,,
5.31,59.15,,
6.35,58.68,,
3.48,56.79,,
4.06,54.83,,
1.53,54.54,,
3.13,54.38,,
3.02,52.59,,
1.88,49.71,,
1.63,49.31,,
2.1,48.04,,
0.6,45.12,,
0.59,43.52,,
0.19,43.39,,
0.17,41.43,,
0.12,41.07,,
0.18,38.16,,
0.08,36.22,,
0.04,33.88,,
74.5,94.99,,
78.87,93.77,,
72.48,88.79,,
58.79,83.94,,
43.61,83.22,,
27.55,81.35,,
33.96,80.7,,
44.69,79.43,,
18.65,77.65,,
16.88,76.07,,
5.85,75.15,,
26.11,73.49,,
2.43,70.92,,
0.63,67.99,,
0.6,66.58,,
4.84,65.39,,
0.62,62.97,,
0.46,62.41,,
0.46,60.72,,
3.24,58.64,,
2.47,55.32,,
1.19,52.22,,
0.8,48.41,,
0.57,47.44,,
0.27,43.36,,
0.13,38.79,,
0.2,36.72,,
77.37,86.77,,
62.03,84.84,,
61.2,83.63,,
58.73,82.22,,
75.91,81.69,,
45.9,81.33,,
10.11,80.8,,
60.16,80.35,,
43.94,78.94,,
78.71,77.2,,
69.18,76.91,,
86.01,75.69,,
48.69,74.15,,
68.9,73.91,,
57.07,73.12,,
3.43,71.64,,
34.14,71.36,,
1.59,69.89,,
0.5,68.08,,
0.16,65.62,,
0.18,63.18,,
0.56,60.99,,
0.84,58.72,,
2.31,56.95,,
2.66,55.33,,
0.97,52.5,,
1.24,52.06,,
1.01,51.07,,
0.8,46.93,,
