index,primary_length,k0,axfold,radfold,delta,nude_length,length,surface,Jv,i3,i4,i6,i8,seed
87,0.13,50,1.0,1.0,0.0018,0.019,1.3827,0.00115799607866,0.0165504746993,18,25,19,8,28327900
88,0.13,50,1.0,1.0,0.0018,0.024,1.9568,0.00157488668043,0.0226575829848,30,29,22,11,98503996
89,0.13,50,1.0,1.0,0.0018,0.029,2.1109,0.00168369976323,0.0241204367253,34,31,28,11,20168953
90,0.13,50,1.0,1.0,0.0018,0.034,1.6241,0.00130426360606,0.0188738587033,34,22,11,13,25711434
91,0.13,50,1.0,1.0,0.0022,0.009,0.8187,0.000748485706355,0.0108646957884,13,11,9,5,70552788
92,0.13,50,1.0,1.0,0.0022,0.014,1.4387,0.00119126428823,0.0172263373244,19,18,23,6,40598049
93,0.13,50,1.0,1.0,0.0022,0.019,1.1654,0.00103253217781,0.0147418943192,12,16,14,10,26265268
94,0.13,50,1.0,1.0,0.0022,0.024,1.0555,0.000899151463473,0.012998570228,20,13,11,6,50852971
95,0.13,50,1.0,1.0,0.0022,0.029,0.9609,0.000846918087377,0.0122795528061,13,12,12,4,21675684
96,0.13,50,1.0,1.0,0.0022,0.034,1.1828,0.00101015398502,0.0145230105,17,21,16,6,25003727
97,0.14,50,1.0,1.0,0.001,0.009,2.8704,0.00225468736961,0.0320321747234,51,38,24,18,98885251
98,0.14,50,1.0,1.0,0.001,0.014,4.3776,0.0032345724864,0.0457479529781,81,60,40,20,85032041
99,0.14,50,1.0,1.0,0.001,0.019,3.0057,0.0024037768012,0.0335969870574,37,41,34,17,39334487
100,0.14,50,1.0,1.0,0.001,0.024,4.191,0.00316354811367,0.044482128024,70,51,48,19,15626655
101,0.14,50,1.0,1.0,0.001,0.029,3.0512,0.00237207963929,0.0334661184533,58,42,26,18,51196360
102,0.14,50,1.0,1.0,0.001,0.034,3.3761,0.00259752409802,0.036894739357,68,39,29,16,38103756
103,0.14,50,1.0,1.0,0.0014,0.009,1.8248,0.00149708702332,0.0211921959332,34,28,20,13,20484390
104,0.14,50,1.0,1.0,0.0014,0.014,2.3934,0.00192510514627,0.0274810404486,46,32,20,12,34566200
105,0.14,50,1.0,1.0,0.0014,0.019,1.8978,0.00153710211727,0.021759286352,33,21,23,15,98018908
106,0.14,50,1.0,1.0,0.0014,0.024,1.6135,0.00132895149777,0.0190877861446,31,19,11,11,60319667
