index;primary_length;k0;axfold;radfold;delta;length;surface;Jv;i3;i4;i6;i8;seed
60;0.12;50;0.0625;8;0.0018;1.7191;0.00136099;0.034733849;25;29;24;7;72485089
61;0.12;50;0.125;0.25;0.0018;2.5654;0.001827567;0.006339079;45;44;32;12;72690714
62;0.12;50;0.125;0.5;0.0018;2.2314;0.001672017;0.010750382;33;36;34;14;33296088
63;0.12;50;0.125;1;0.0018;2.2905;0.001730227;0.019683134;37;37;27;14;27469801
64;0.12;50;0.125;2;0.0018;1.9982;0.001542313;0.028874064;32;28;24;13;58679744
65;0.12;50;0.125;4;0.0018;2.2081;0.001658733;0.048691567;37;35;22;12;27757250
66;0.12;50;0.125;8;0.0018;1.8391;0.001422388;0.054907185;32;31;27;10;47785764
67;0.12;50;0.25;0.25;0.0018;1.7308;0.0013787;0.004960099;26;28;19;9;62710399
68;0.12;50;0.25;0.5;0.0018;1.748;0.001392284;0.009543317;27;27;21;10;96718117
69;0.12;50;0.25;1;0.0018;2.4478;0.001756898;0.022418229;40;41;32;16;47919947
70;0.12;50;0.25;2;0.0018;1.3727;0.001133272;0.026634371;24;20;19;7;96618587
71;0.12;50;0.25;4;0.0018;1.6991;0.001352425;0.049271469;23;22;23;11;75339934
72;0.12;50;0.25;8;0.0018;2.6556;0.001885674;0.096787356;41;48;37;15;7273949
73;0.12;50;0.5;0.25;0.0018;1.7684;0.001363595;0.004986027;22;30;24;12;99100087
74;0.12;50;0.5;0.5;0.0018;1.9345;0.001506626;0.010809384;30;31;27;7;36249530
75;0.12;50;0.5;1;0.0018;1.3829;0.001111076;0.015507119;23;27;17;5;35444821
76;0.12;50;0.5;2;0.0018;2.0757;0.001576456;0.04082044;40;31;27;7;5010336
77;0.12;50;0.5;4;0.0018;3.0599;0.002184796;0.089365668;37;47;45;30;28579487
78;0.12;50;0.5;8;0.0018;2.1463;0.001661298;0.111469777;30;35;29;15;45297009
79;0.12;50;1;0.25;0.0018;1.6543;0.001290403;0.004782024;28;30;14;6;11745875
80;0.12;50;1;0.5;0.0018;2.2968;0.001704656;0.012454401;47;39;28;13;18138773
81;0.12;50;1;1;0.0018;1.3327;0.001085467;0.015676739;20;23;12;6;22281479
