index;primary_length;k0;axfold;radfold;delta;length;surface;Jv;i3;i4;i6;i8;seed
638;0.14;50;4;0.5;0.002;5.0482;0.003095052;0.022946459;63;78;69;37;39058588
639;0.14;50;4;1;0.002;2.1082;0.001572224;0.023228923;35;38;22;14;24976708
640;0.14;50;4;2;0.002;3.6114;0.00249991;0.072597394;48;59;41;36;85360787
641;0.14;50;4;4;0.002;1.5557;0.001273556;0.073167283;25;20;16;11;6105969
642;0.14;50;4;8;0.002;2.0524;0.001508394;0.166642032;34;30;23;14;86805275
643;0.14;50;5;0.25;0.002;2.5206;0.001931718;0.007187798;27;39;37;21;23232369
644;0.14;50;5;0.5;0.002;2.4459;0.001739469;0.01292552;43;40;26;19;71750234
645;0.14;50;5;1;0.002;2.2791;0.001725401;0.025492263;33;40;32;17;69333570
646;0.14;50;5;2;0.002;2.0986;0.001563804;0.045938517;34;30;17;17;41294567
647;0.14;50;5;4;0.002;2.1375;0.001636017;0.094489874;37;45;24;10;62967735
648;0.14;50;5;8;0.002;2.6951;0.001986879;0.221085874;35;47;35;21;19627755
649;0.15;50;0.0625;0.25;0.0017;3.2435;0.002219613;0.00675672;47;54;44;19;6225371
650;0.15;50;0.0625;0.5;0.0017;2.9653;0.002183885;0.0114738;38;56;43;12;32156604
651;0.15;50;0.0625;1;0.0017;8.724;0.004786788;0.027299189;87;146;125;80;646038
652;0.15;50;0.0625;2;0.0017;2.4468;0.00185312;0.025071765;43;37;26;14;68475725
653;0.15;50;0.0625;4;0.0017;2.9485;0.002193616;0.030657514;42;52;39;18;79453655
654;0.15;50;0.0625;8;0.0017;2.5057;0.001897507;0.042989616;34;33;34;13;37059366
655;0.15;50;0.125;0.25;0.0017;2.0121;0.00162337;0.005514726;33;25;22;15;62029547
656;0.15;50;0.125;0.5;0.0017;3.8323;0.002748957;0.016518258;58;61;51;29;7635801
657;0.15;50;0.125;1;0.0017;2.653;0.002022164;0.021098593;40;32;28;22;80948076
658;0.15;50;0.125;2;0.0017;2.7021;0.002021889;0.033419405;36;47;40;17;11655817
659;0.15;50;0.125;4;0.0017;2.361;0.001765423;0.050689018;45;37;28;14;94544540
660;0.15;50;0.125;8;0.0017;3.9244;0.002551161;0.067383113;52;52;52;32;18725231
661;0.15;50;0.25;0.25;0.0017;1.8448;0.001486418;0.005311225;29;28;19;10;69990227
662;0.15;50;0.25;0.5;0.0017;1.7839;0.001469291;0.01003943;29;28;19;6;7157198
663;0.15;50;0.25;1;0.0017;2.6762;0.002033783;0.024397695;40;40;37;15;9159455
664;0.15;50;0.25;2;0.0017;4.2542;0.002982799;0.054115182;58;55;54;35;72935807
665;0.15;50;0.25;4;0.0017;2.2985;0.001740212;0.055387604;28;38;34;16;21376700
666;0.15;50;0.25;8;0.0017;3.2064;0.002356104;0.10817417;44;52;42;22;11742063
667;0.15;50;0.5;0.25;0.0017;2.5959;0.001932922;0.007034416;36;37;35;18;18420772
668;0.15;50;0.5;0.5;0.0017;3.6893;0.002418405;0.017229225;50;68;49;23;95484022
669;0.15;50;0.5;1;0.0017;2.5245;0.001928756;0.025856521;37;46;29;18;19186616
670;0.15;50;0.5;2;0.0017;2.3786;0.001777784;0.046046788;39;38;28;11;91128757
671;0.15;50;0.5;4;0.0017;2.2387;0.001713285;0.079166632;46;36;24;10;51407763
672;0.15;50;0.5;8;0.0017;2.5331;0.001909566;0.134288011;36;41;32;15;35953509
673;0.15;50;1;0.25;0.0017;2.8465;0.002084394;0.00767974;46;48;36;19;9362281
674;0.15;50;1;0.5;0.0017;3.445;0.002497266;0.018004614;48;54;38;25;28791765
675;0.15;50;1;1;0.0017;1.935;0.001568733;0.022160569;27;24;26;14;38490814
676;0.15;50;1;2;0.0017;1.931;0.001548001;0.042835912;28;29;23;8;54700135
677;0.15;50;1;4;0.0017;2.0468;0.00166304;0.076618331;28;26;26;19;87079697
678;0.15;50;1;8;0.0017;3.4145;0.002474404;0.206710248;58;57;41;22;92686161
679;0.15;50;2;0.25;0.0017;1.7115;0.001392824;0.005167269;27;23;14;15;66782589
680;0.15;50;2;0.5;0.0017;2.1259;0.001675808;0.012364729;38;31;23;10;47908577
681;0.15;50;2;1;0.0017;1.8782;0.001480809;0.021541543;30;32;19;9;89322954
682;0.15;50;2;2;0.0017;3.3308;0.002308542;0.065403809;52;54;38;20;44790474
683;0.15;50;2;4;0.0017;3.0289;0.002257824;0.120376412;45;51;37;24;16407003
684;0.15;50;2;8;0.0017;3.2331;0.002370561;0.233093459;41;52;42;22;145178
685;0.15;50;3;0.25;0.0017;1.9038;0.001507671;0.005605477;33;29;21;14;88301730
686;0.15;50;3;0.5;0.0017;3.5397;0.002539977;0.018751669;40;58;49;28;78170515
687;0.15;50;3;1;0.0017;1.6541;0.001360961;0.019947317;19;25;19;11;59502998
688;0.15;50;3;2;0.0017;2.4096;0.001849957;0.053693983;38;37;29;12;44052714
689;0.15;50;3;4;0.0017;2.1236;0.001653732;0.091960651;32;33;26;13;21699956
690;0.15;50;3;8;0.0017;2.9105;0.002205152;0.226220338;38;45;45;17;72821905
691;0.15;50;4;0.25;0.0017;2.594;0.002026092;0.007536749;39;35;35;17;29583413
692;0.15;50;4;0.5;0.0017;2.5748;0.001905101;0.014119009;36;42;35;18;40146869
693;0.15;50;4;1;0.0017;2.3136;0.001809032;0.026648112;38;37;27;13;82548691
694;0.15;50;4;2;0.0017;1.7637;0.001421726;0.041537553;25;34;18;9;11218267
695;0.15;50;4;4;0.0017;2.3392;0.001812493;0.102135137;30;33;30;20;51106087
696;0.15;50;4;8;0.0017;1.7777;0.001446465;0.158860942;30;29;17;8;93332994
697;0.15;50;5;0.25;0.0017;3.6265;0.002580041;0.00960371;50;57;45;27;79117159
698;0.15;50;5;0.5;0.0017;2.9961;0.002213374;0.016429904;46;55;42;16;73605664
699;0.15;50;5;1;0.0017;1.8503;0.001470911;0.021762728;35;28;24;6;86480396
700;0.15;50;5;2;0.0017;1.8256;0.001490635;0.043628291;30;28;18;8;29263190
701;0.15;50;5;4;0.0017;2.1642;0.001696328;0.096279575;30;28;32;19;35140720
702;0.15;50;5;8;0.0017;2.9569;0.002139129;0.236048186;50;39;39;22;25444356
703;0.15;50;0.0625;0.25;0.0018;3.8113;0.002652931;0.008192833;52;61;49;23;90624776
704;0.15;50;0.0625;0.5;0.0018;2.2785;0.001712295;0.009892469;37;33;25;10;69079732
705;0.15;50;0.0625;1;0.0018;1.8417;0.001489066;0.01367047;29;24;17;13;34394794
706;0.15;50;0.0625;2;0.0018;2.4442;0.001865018;0.023393548;31;40;32;17;91614402
707;0.15;50;0.0625;4;0.0018;2.24;0.001704498;0.029136227;28;36;24;13;21982392
708;0.15;50;0.0625;8;0.0018;2.6632;0.002009748;0.043876294;35;36;33;20;12417483
709;0.15;50;0.125;0.25;0.0018;2.5615;0.001993743;0.006648795;40;38;30;18;19088262
710;0.15;50;0.125;0.5;0.0018;1.4864;0.001248893;0.007646011;18;24;15;10;27121256
711;0.15;50;0.125;1;0.0018;2.5925;0.001949996;0.021698754;44;42;29;11;54123022
712;0.15;50;0.125;2;0.0018;2.4225;0.001826746;0.03230753;38;42;28;14;83460586
713;0.15;50;0.125;4;0.0018;2.3621;0.001805151;0.041895438;35;38;30;19;71167770
714;0.15;50;0.125;8;0.0018;2.8077;0.002072096;0.078348431;44;52;30;16;63644336
715;0.15;50;0.25;0.25;0.0018;2.745;0.002087321;0.007241913;35;48;37;21;11566730
716;0.15;50;0.25;0.5;0.0018;2.8718;0.002147647;0.014261448;46;41;42;21;27281043
717;0.15;50;0.25;1;0.0018;3.5044;0.002442099;0.02986683;48;53;44;25;94146375
718;0.15;50;0.25;2;0.0018;2.2112;0.001750436;0.03722947;37;32;26;14;19891029
719;0.15;50;0.25;4;0.0018;2.1086;0.001648901;0.057754915;34;31;27;18;48076356
720;0.15;50;0.25;8;0.0018;1.965;0.001531163;0.087764579;29;31;20;12;59361484
721;0.15;50;0.5;0.25;0.0018;1.9843;0.001563789;0.005678597;27;31;20;16;7851268
722;0.15;50;0.5;0.5;0.0018;2.3268;0.001785751;0.012653706;37;34;25;16;58442804
723;0.15;50;0.5;1;0.0018;1.8465;0.001510415;0.020302426;29;27;19;10;60352511
724;0.15;50;0.5;2;0.0018;2.4608;0.001897914;0.047431722;37;36;30;16;39145264
725;0.15;50;0.5;4;0.0018;2.0411;0.001625491;0.06882087;29;29;21;14;79326376
726;0.15;50;0.5;8;0.0018;2.2565;0.001788149;0.113238344;35;29;36;13;34702043
727;0.15;50;1;0.25;0.0018;1.7698;0.001440397;0.005304529;29;27;21;9;53084388
728;0.15;50;1;0.5;0.0018;1.8888;0.00152594;0.011035483;23;27;23;21;57919764
729;0.15;50;1;1;0.0018;1.8905;0.001508538;0.021614682;36;32;19;9;5069916
730;0.15;50;1;2;0.0018;2.2299;0.00174487;0.047498379;31;40;30;12;13687913
731;0.15;50;1;4;0.0018;2.2832;0.001805131;0.088531784;31;42;33;15;62479878
732;0.15;50;1;8;0.0018;2.0322;0.001588133;0.137908511;35;29;24;11;12257307
733;0.15;50;2;0.25;0.0018;2.2482;0.001704256;0.006312384;28;34;26;19;13908001
734;0.15;50;2;0.5;0.0018;2.5965;0.001879206;0.013875987;43;45;31;14;43351175
735;0.15;50;2;1;0.0018;2.2476;0.00177594;0.025697638;34;37;26;20;17990943
736;0.15;50;2;2;0.0018;2.391;0.001867767;0.052778828;39;37;23;12;59502476
737;0.15;50;2;4;0.0018;2.5875;0.001961136;0.106323802;36;53;30;13;43640574
738;0.15;50;2;8;0.0018;1.5631;0.001287812;0.132439307;24;25;15;9;69898012
739;0.15;50;3;0.25;0.0018;2.8754;0.002091671;0.007770334;41;47;33;17;12611338
740;0.15;50;3;0.5;0.0018;1.7971;0.001459786;0.010815221;33;32;20;8;98961473
741;0.15;50;3;1;0.0018;2.559;0.001922401;0.028114325;28;44;35;18;73756393
742;0.15;50;3;2;0.0018;2.4417;0.001903671;0.054293797;30;39;32;22;69839574
743;0.15;50;3;4;0.0018;3.6027;0.002430593;0.136110297;54;56;43;26;18113450
744;0.15;50;3;8;0.0018;2.0501;0.001628932;0.173339906;34;32;21;9;3972522
745;0.15;50;4;0.25;0.0018;6.0965;0.003652116;0.013563371;61;89;88;52;82378298
746;0.15;50;4;0.5;0.0018;3.1565;0.002233823;0.016584133;44;50;35;20;64386333
747;0.15;50;4;1;0.0018;1.7991;0.001435446;0.021204705;25;26;20;12;75172508
748;0.15;50;4;2;0.0018;2.8319;0.00206534;0.060134432;54;53;27;18;92193363
749;0.15;50;4;4;0.0018;1.7675;0.001419366;0.080959979;22;28;22;10;94915312
750;0.15;50;4;8;0.0018;4.1314;0.00282496;0.29801414;58;67;52;27;56978327
751;0.15;50;5;0.25;0.0018;1.837;0.001494049;0.005564019;25;29;18;11;28365448
752;0.15;50;5;0.5;0.0018;1.9705;0.00156578;0.011628932;29;31;24;11;4323271
753;0.15;50;5;1;0.0018;3.9944;0.002673846;0.039537261;59;64;42;26;82197111
754;0.15;50;5;2;0.0018;3.0318;0.002198513;0.064180371;35;47;37;21;46835573
755;0.15;50;5;4;0.0018;1.5892;0.001299528;0.074845952;25;28;17;6;94900143
756;0.15;50;5;8;0.0018;1.9906;0.001607666;0.176162073;26;27;16;13;67867578
757;0.15;50;0.0625;0.25;0.0019;2.6233;0.001964905;0.00619186;37;39;38;15;55326178
758;0.15;50;0.0625;0.5;0.0019;1.9104;0.001547155;0.008273142;27;34;20;12;29905557
759;0.15;50;0.0625;1;0.0019;2.2966;0.001642943;0.01408341;31;37;27;17;38812908
760;0.15;50;0.0625;2;0.0019;1.8782;0.001517809;0.02058004;31;30;21;7;16074152
761;0.15;50;0.0625;4;0.0019;2.4999;0.001777433;0.034478064;44;37;29;14;14853515
762;0.15;50;0.0625;8;0.0019;2.3898;0.001893096;0.036552466;26;34;33;20;86634009
763;0.15;50;0.125;0.25;0.0019;2.1188;0.001657377;0.00561397;33;32;26;14;2705466
764;0.15;50;0.125;0.5;0.0019;1.3014;0.001092716;0.007052169;23;21;10;8;6400182
765;0.15;50;0.125;1;0.0019;1.9533;0.001488077;0.017080076;27;31;24;13;32492842
766;0.15;50;0.125;2;0.0019;1.1006;0.000942631;0.018239721;18;18;13;7;80736374
767;0.15;50;0.125;4;0.0019;1.2327;0.001060424;0.028855466;15;17;13;10;97074413
768;0.15;50;0.125;8;0.0019;2.0912;0.001647407;0.059000035;33;35;29;15;81240430
769;0.15;50;0.25;0.25;0.0019;2.3363;0.001785542;0.006308294;35;40;26;17;93166479
770;0.15;50;0.25;0.5;0.0019;3.2152;0.002341419;0.015410349;39;56;41;26;68602696
771;0.15;50;0.25;1;0.0019;4.213;0.002848795;0.033467966;52;72;58;30;63439245
772;0.15;50;0.25;2;0.0019;2.0999;0.001670448;0.035251396;30;32;23;16;53600016
773;0.15;50;0.25;4;0.0019;1.6031;0.001317276;0.044728658;21;19;18;14;27839638
774;0.15;50;0.25;8;0.0019;2.0267;0.00161978;0.078182257;32;34;24;13;37165379
775;0.15;50;0.5;0.25;0.0019;1.9388;0.001542633;0.005622475;33;29;22;12;89521139
776;0.15;50;0.5;0.5;0.0019;2.5503;0.001885781;0.01353638;54;42;26;11;14743763
777;0.15;50;0.5;1;0.0019;1.9858;0.001606162;0.021672512;25;30;24;15;1978279
778;0.15;50;0.5;2;0.0019;5.2484;0.00307306;0.07367317;73;88;68;41;42993771
779;0.15;50;0.5;4;0.0019;2.4296;0.001888453;0.08015612;41;37;29;14;84634210
780;0.15;50;0.5;8;0.0019;2.7781;0.001974388;0.145410323;46;51;33;12;2457580
781;0.15;50;1;0.25;0.0019;3.5349;0.002425349;0.008932778;50;56;54;27;30724821
782;0.15;50;1;0.5;0.0019;2.1879;0.00174184;0.01265239;33;35;28;13;63228294
783;0.15;50;1;1;0.0019;6.944;0.004161276;0.057301363;84;117;105;53;65147120
784;0.15;50;1;2;0.0019;1.9012;0.001516011;0.041721825;37;29;19;10;28404480
785;0.15;50;1;4;0.0019;1.2612;0.00104844;0.053458712;14;17;12;8;86319071
786;0.15;50;1;8;0.0019;1.8594;0.00147623;0.130855805;25;31;18;12;19053202
787;0.15;50;2;0.25;0.0019;1.8025;0.001394983;0.005185709;31;25;21;9;51304774
788;0.15;50;2;0.5;0.0019;1.7035;0.00133413;0.009838294;25;25;17;12;71076698
789;0.15;50;2;1;0.0019;1.6411;0.001327071;0.019356483;29;25;16;13;38890099
790;0.15;50;2;2;0.0019;2.5605;0.001937625;0.054878665;40;38;33;15;58006121
791;0.15;50;2;4;0.0019;2.0775;0.00163499;0.088633191;32;33;25;9;46508292
792;0.15;50;2;8;0.0019;2.1053;0.001621423;0.159125903;33;29;18;17;10066565
793;0.15;50;3;0.25;0.0019;1.5865;0.001282056;0.004770697;25;26;15;7;19455912
794;0.15;50;3;0.5;0.0019;2.0077;0.001589104;0.011757946;32;28;26;15;55129049
795;0.15;50;3;1;0.0019;1.6351;0.001340854;0.019675334;21;21;20;13;27311887
796;0.15;50;3;2;0.0019;1.8977;0.001450149;0.041924847;25;31;23;18;71062794
797;0.15;50;3;4;0.0019;1.9689;0.001578869;0.086942113;25;30;27;13;28598790
798;0.15;50;3;8;0.0019;2.2869;0.001716117;0.184897116;37;39;26;12;29750510
799;0.15;50;4;0.25;0.0019;2.3524;0.001707486;0.006357458;34;39;24;14;99026052
800;0.15;50;4;0.5;0.0019;1.9092;0.001525532;0.011316629;27;31;27;10;36338384
801;0.15;50;4;1;0.0019;2.8966;0.002136873;0.031551066;52;51;40;16;26145013
802;0.15;50;4;2;0.0019;2.2276;0.001683005;0.049055528;28;31;25;14;25539303
803;0.15;50;4;4;0.0019;2.5418;0.001886665;0.106317647;21;40;34;26;42574340
804;0.15;50;4;8;0.0019;1.6732;0.001360656;0.149863652;31;24;16;9;81008948
805;0.15;50;5;0.25;0.0019;2.9213;0.002203384;0.008199193;43;43;36;17;49932740
806;0.15;50;5;0.5;0.0019;1.7781;0.001434052;0.010658411;29;30;18;14;59957253
807;0.15;50;5;1;0.0019;2.4436;0.001873884;0.027668766;38;41;36;18;98932816
808;0.15;50;5;2;0.0019;3.5352;0.002436985;0.071167772;55;56;41;26;30752373
809;0.15;50;5;4;0.0019;2.4652;0.001735373;0.100434611;41;40;26;16;9967402
810;0.15;50;5;8;0.0019;1.6218;0.001320969;0.147326093;29;26;18;11;97294473
811;0.15;50;0.0625;0.25;0.002;3.7703;0.002535932;0.007619865;46;68;49;29;40331390
812;0.15;50;0.0625;0.5;0.002;1.9646;0.001511421;0.008236152;36;33;19;13;62322584
813;0.15;50;0.0625;1;0.002;1.5574;0.001302389;0.011804049;25;21;19;10;46809919
814;0.15;50;0.0625;2;0.002;1.3302;0.001120494;0.017276719;25;17;11;7;90602968
815;0.15;50;0.0625;4;0.002;1.3559;0.001143177;0.023343662;22;25;16;6;55353535
816;0.15;50;0.0625;8;0.002;2.7016;0.001908201;0.040790592;47;46;37;15;11725735
817;0.15;50;0.125;0.25;0.002;1.5722;0.001289922;0.004447204;30;21;19;7;4165512
818;0.15;50;0.125;0.5;0.002;1.8373;0.001448325;0.009368175;37;31;21;7;29606414
819;0.15;50;0.125;1;0.002;2.9;0.002190905;0.021765168;48;40;33;20;41548858
820;0.15;50;0.125;2;0.002;1.8637;0.001449741;0.023670884;15;20;24;19;57378946
821;0.15;50;0.125;4;0.002;2.8731;0.002105522;0.055258546;50;46;36;17;14081130
822;0.15;50;0.125;8;0.002;1.4533;0.001209852;0.046426992;21;23;18;9;25997082
823;0.15;50;0.25;0.25;0.002;1.4664;0.001206974;0.004285864;17;25;13;10;98105004
824;0.15;50;0.25;0.5;0.002;2.3388;0.001718616;0.01171919;37;42;23;16;10069333
825;0.15;50;0.25;1;0.002;2.2367;0.001676756;0.021388818;35;38;28;13;47944238
826;0.15;50;0.25;2;0.002;1.5821;0.001289936;0.030049796;35;21;15;9;82163287
827;0.15;50;0.25;4;0.002;1.5804;0.00129913;0.046048852;25;21;20;8;27709692
828;0.15;50;0.25;8;0.002;1.441;0.001190458;0.074945789;30;21;15;7;79748908
829;0.15;50;0.5;0.25;0.002;1.2791;0.001075739;0.00394017;21;17;13;9;34692718
830;0.15;50;0.5;0.5;0.002;1.4279;0.001165869;0.008304067;16;18;18;10;63090983
831;0.15;50;0.5;1;0.002;1.7517;0.0014285;0.019454977;29;30;21;12;81057320
832;0.15;50;0.5;2;0.002;1.7422;0.001346624;0.03425654;25;20;15;14;13608667
833;0.15;50;0.5;4;0.002;1.9656;0.001564207;0.064780657;21;35;25;17;48074041
834;0.15;50;0.5;8;0.002;1.5452;0.001273844;0.098089661;33;21;14;7;32896958
835;0.15;50;1;0.25;0.002;1.9629;0.001582213;0.005823483;28;35;23;12;7946378
836;0.15;50;1;0.5;0.002;2.6663;0.00201784;0.014554351;34;37;37;25;2164198
837;0.15;50;1;1;0.002;2.4419;0.001877804;0.026486691;31;35;32;22;21320050
838;0.15;50;1;2;0.002;1.8397;0.001501489;0.040658882;26;27;29;14;50488908
839;0.15;50;1;4;0.002;2.9338;0.001974135;0.096625933;33;48;49;24;57432594
840;0.15;50;1;8;0.002;6.0353;0.003491181;0.273940496;76;94;84;50;62432916
841;0.15;50;2;0.25;0.002;1.9758;0.00158026;0.005857827;28;29;20;19;90125031
842;0.15;50;2;0.5;0.002;1.8136;0.001469435;0.010835822;28;26;22;10;41773366
843;0.15;50;2;1;0.002;4.6236;0.003008916;0.043726293;67;73;52;36;78037159
844;0.15;50;2;2;0.002;3.2724;0.002077591;0.059576869;55;47;41;18;11230941
845;0.15;50;2;4;0.002;1.4589;0.001201736;0.064962631;18;24;23;13;6168388
846;0.15;50;2;8;0.002;1.6179;0.001346265;0.134392451;26;24;20;10;6035288
847;0.15;50;3;0.25;0.002;5.4388;0.003341336;0.01241657;71;101;71;36;91530419
848;0.15;50;3;0.5;0.002;1.968;0.001465025;0.010856565;25;33;20;17;43406007
849;0.15;50;3;1;0.002;2.1274;0.001652053;0.024301951;34;40;25;8;88361093
850;0.15;50;3;2;0.002;4.0737;0.002732325;0.078022694;55;73;56;32;85908120
851;0.15;50;3;4;0.002;1.7171;0.001412966;0.078615875;19;24;21;12;95998170
852;0.15;50;3;8;0.002;4.0662;0.002725533;0.271996542;59;67;53;30;14053175
853;0.15;50;4;0.25;0.002;2.4689;0.001784443;0.006645135;34;38;32;18;17717121
854;0.15;50;4;0.5;0.002;1.2011;0.001030091;0.007650542;17;17;12;7;69509921
855;0.15;50;4;1;0.002;2.5603;0.001837861;0.027132758;33;44;39;16;12144100
856;0.15;50;4;2;0.002;1.7462;0.001418553;0.041178485;23;27;17;12;13440163
857;0.15;50;4;4;0.002;1.666;0.001356714;0.077203878;25;23;20;11;74463509
858;0.15;50;4;8;0.002;2.5732;0.001849674;0.199137327;32;44;33;25;43950785
859;0.15;50;5;0.25;0.002;2.3922;0.001715062;0.006387178;40;35;31;16;72151376
860;0.15;50;5;0.5;0.002;1.7871;0.001464598;0.010879366;30;32;22;12;51589638
861;0.15;50;5;1;0.002;1.6017;0.001303739;0.01928897;29;19;16;18;18352808
862;0.15;50;5;2;0.002;2.6079;0.001979548;0.05786499;40;41;28;21;25237232
863;0.15;50;5;4;0.002;1.3807;0.00113413;0.06562913;21;20;22;11;96870047
864;0.15;50;5;8;0.002;2.012;0.001514294;0.168878274;35;27;25;13;15229659
865;0.12;50;0.0625;0.25;0.0017;1.6258;0.00129489;0.00418922;24;26;16;9;95781436
866;0.12;50;0.0625;0.5;0.0017;3.0451;0.002098395;0.011817886;52;48;35;15;78977943
867;0.12;50;0.0625;1;0.0017;1.6311;0.001308427;0.01242446;29;30;18;8;79158141
868;0.12;50;0.0625;2;0.0017;2.7907;0.002047778;0.026248191;39;39;40;21;52471479
869;0.12;50;0.0625;4;0.0017;3.4752;0.002376034;0.041738969;55;62;45;18;99737018
870;0.12;50;0.0625;8;0.0017;1.5757;0.00125827;0.031436017;23;28;20;11;81439989
871;0.12;50;0.125;0.25;0.0017;3.9444;0.002632973;0.008925832;62;65;50;28;38698969
872;0.12;50;0.125;0.5;0.0017;1.831;0.001359499;0.009022469;33;22;23;13;62525579
873;0.12;50;0.125;1;0.0017;1.8597;0.001481074;0.016735245;30;31;23;10;17523702
874;0.12;50;0.125;2;0.0017;2.8569;0.002049746;0.036446999;44;47;34;18;47289972
875;0.12;50;0.125;4;0.0017;1.9193;0.001453283;0.043394527;32;33;23;10;70233423
876;0.12;50;0.125;8;0.0017;1.667;0.001325844;0.051050038;23;29;27;10;58463591
877;0.12;50;0.25;0.25;0.0017;2.3108;0.001781092;0.006300338;37;41;33;15;68691988
878;0.12;50;0.25;0.5;0.0017;2.0058;0.001590809;0.010501779;25;31;31;15;85091185
879;0.12;50;0.25;1;0.0017;1.8634;0.001422994;0.018559003;33;33;21;8;76110367
880;0.12;50;0.25;2;0.0017;2.2814;0.001739623;0.035842209;27;36;34;24;5021590
881;0.12;50;0.25;4;0.0017;1.794;0.001409404;0.051307682;29;27;27;11;27970727
882;0.12;50;0.25;8;0.0017;2.4453;0.001770205;0.101891898;41;37;33;17;6553319
883;0.12;50;0.5;0.25;0.0017;2.1395;0.001667639;0.006094124;40;36;29;11;87490051
884;0.12;50;0.5;0.5;0.0017;1.9765;0.001516078;0.010892183;33;29;25;13;51611949
885;0.12;50;0.5;1;0.0017;1.5313;0.001228017;0.017000512;27;20;16;7;12136116
886;0.12;50;0.5;2;0.0017;2.6853;0.001935122;0.049181967;41;43;39;15;94574389
887;0.12;50;0.5;4;0.0017;2.5126;0.001849542;0.08039612;32;40;33;18;39470592
888;0.12;50;0.5;8;0.0017;2.3197;0.00177262;0.13026208;39;35;31;11;92332542
889;0.12;50;1;0.25;0.0017;2.8113;0.002080209;0.007658396;42;53;40;15;79057336
890;0.12;50;1;0.5;0.0017;2.0983;0.001598582;0.011713348;40;32;23;10;68090623
891;0.12;50;1;1;0.0017;1.0522;0.000899168;0.012957135;15;12;11;7;44642726
892;0.12;50;1;2;0.0017;1.8093;0.001407008;0.038663535;25;33;20;11;52886388
893;0.12;50;1;4;0.0017;2.7362;0.00193267;0.098113752;43;49;33;16;62819308
894;0.12;50;1;8;0.0017;1.9841;0.001536848;0.146692676;44;28;18;8;4861276
895;0.12;50;2;0.25;0.0017;2.6697;0.001859117;0.006898392;42;39;37;16;29817718
896;0.12;50;2;0.5;0.0017;1.7705;0.001381793;0.010206621;30;34;20;11;66923742
897;0.12;50;2;1;0.0017;2.5103;0.00188343;0.027332595;44;39;36;18;81304625
898;0.12;50;2;2;0.0017;2.1633;0.001612466;0.046239566;35;34;32;17;63877452
899;0.12;50;2;4;0.0017;1.611;0.00130459;0.072899598;30;20;16;6;34218673
900;0.12;50;2;8;0.0017;2.5393;0.001893985;0.193927295;40;42;26;14;77100548
901;0.12;50;3;0.25;0.0017;2.095;0.001607528;0.005973208;23;33;30;13;75604393
902;0.12;50;3;0.5;0.0017;1.6363;0.001308169;0.009690818;24;35;20;13;75256421
903;0.12;50;3;1;0.0017;1.2795;0.001057166;0.01560284;28;20;12;6;6389405
904;0.12;50;3;2;0.0017;2.8711;0.001983294;0.057785866;47;45;35;19;46572002
905;0.12;50;3;4;0.0017;1.5838;0.001292898;0.072930994;27;24;15;7;71677295
906;0.12;50;3;8;0.0017;1.9627;0.001515938;0.163207428;33;30;25;12;18386439
907;0.12;50;4;0.25;0.0017;1.9101;0.001479256;0.005506519;29;33;23;13;79654511
908;0.12;50;4;0.5;0.0017;1.4341;0.001181514;0.008783493;24;25;13;5;15569806
909;0.12;50;4;1;0.0017;1.703;0.00132787;0.019643974;26;24;23;9;50362599
910;0.12;50;4;2;0.0017;1.4467;0.001122752;0.032956275;17;26;14;11;96163240
911;0.12;50;4;4;0.0017;3.4152;0.002321092;0.133086415;53;59;39;20;10152430
912;0.12;50;4;8;0.0017;1.3088;0.00108946;0.121656495;21;20;14;7;25738876
913;0.12;50;5;0.25;0.0017;1.7075;0.001327271;0.004946819;30;23;28;9;68089559
914;0.12;50;5;0.5;0.0017;1.9714;0.001524121;0.011334571;36;28;21;13;819998
915;0.12;50;5;1;0.0017;3.0091;0.00226128;0.033319249;46;50;46;16;67635617
916;0.12;50;5;2;0.0017;1.6695;0.00131404;0.038555963;24;20;25;11;50456120
917;0.12;50;5;4;0.0017;1.3542;0.001106601;0.064214182;23;20;16;9;22391415
918;0.12;50;5;8;0.0017;2.2059;0.001650454;0.177464519;32;32;38;22;28815330
919;0.12;50;0.0625;0.25;0.0018;1.6431;0.001282998;0.004181139;30;30;14;10;98122375
920;0.12;50;0.0625;0.5;0.0018;2.6179;0.001881564;0.010518724;40;49;35;14;7263220
921;0.12;50;0.0625;1;0.0018;1.6983;0.00131542;0.012553397;25;22;19;16;30831873
922;0.12;50;0.0625;2;0.0018;2.8626;0.002116073;0.027495585;50;46;33;21;25479940
923;0.12;50;0.0625;4;0.0018;1.1716;0.000976228;0.022759807;20;17;12;7;74003982
924;0.12;50;0.0625;8;0.0018;1.8115;0.0014438;0.039529126;34;29;20;9;69854697
925;0.12;50;0.125;0.25;0.0018;2.1268;0.001603559;0.005495813;28;32;28;16;30305861
926;0.12;50;0.125;0.5;0.0018;1.0393;0.000883963;0.005679007;18;15;11;5;61382944
927;0.12;50;0.125;1;0.0018;1.9099;0.001480331;0.017358724;31;31;21;7;60984930
928;0.12;50;0.125;2;0.0018;1.7962;0.00140972;0.026018327;28;28;18;11;85992509
929;0.12;50;0.125;4;0.0018;2.4118;0.001777549;0.049463883;34;37;35;16;92017365
930;0.12;50;0.125;8;0.0018;1.7353;0.001361806;0.058010813;37;31;21;8;15396922
931;0.12;50;0.25;0.25;0.0018;1.5622;0.001218791;0.004400417;29;25;16;6;78637260
