index,primary_length,axfold,radfold,length,surface,Jv,i0,seed
751,0.11,1.0,1.0,1.5804,0.00147484957388,0.177412952335,17,45886159
752,0.115,1.0,1.0,1.0599,0.00100448328462,0.127649635127,25,19035287
753,0.12,1.0,1.0,2.1565,0.0019426466938,0.226904089223,34,28451187
754,0.125,1.0,1.0,2.3051,0.0020281185223,0.245686214927,41,3170828
755,0.13,1.0,1.0,1.9075,0.00174993365955,0.209506542755,36,64416134
756,0.135,1.0,1.0,1.1509,0.00113136542606,0.134153022157,20,228440
757,0.14,1.0,1.0,1.5285,0.00145331342845,0.168182990661,25,19258455
758,0.145,1.0,1.0,2.0729,0.0018790011431,0.210856984067,27,50184817
759,0.15,1.0,1.0,1.5287,0.00146184388295,0.158226692736,24,84487445
760,0.1,1.0,1.0,0.9631,0.000917658711459,0.120462679359,14,19640287
761,0.105,1.0,1.0,1.5997,0.00146884787528,0.175804478248,30,80328561
762,0.11,1.0,1.0,1.3234,0.00126126550706,0.150880496608,18,19668902
763,0.115,1.0,1.0,0.9523,0.00094627987717,0.121175384755,13,74405924
764,0.12,1.0,1.0,1.1939,0.00113507099742,0.144243074127,20,52557467
765,0.125,1.0,1.0,1.4924,0.00138760277067,0.167624358785,22,76755989
766,0.13,1.0,1.0,1.924,0.00175170059179,0.218822453429,34,38667783
767,0.135,1.0,1.0,1.5907,0.001485696865,0.185407698917,23,88959918
768,0.14,1.0,1.0,2.6346,0.00229121730633,0.253177780925,45,4225524
769,0.145,1.0,1.0,2.2247,0.00206222485852,0.234512876097,40,8607760
770,0.15,1.0,1.0,2.168,0.00202198231326,0.219267245984,37,13974039
771,0.1,1.0,1.0,1.024,0.000979509382313,0.119384697454,16,49045326
772,0.105,1.0,1.0,1.3498,0.00126892395597,0.155121200867,28,99116794
773,0.11,1.0,1.0,1.1355,0.00107972669062,0.14005983294,15,51180177
774,0.115,1.0,1.0,2.1907,0.00201104273472,0.219282204431,38,71613467
775,0.12,1.0,1.0,1.4715,0.00137532793985,0.169234089858,28,52358810
776,0.125,1.0,1.0,1.6801,0.00147835086633,0.170427583243,25,97744669
777,0.13,1.0,1.0,1.0095,0.000982851031587,0.125186387583,18,51001200
778,0.135,1.0,1.0,2.0495,0.00187732690041,0.204541779881,40,91621935
779,0.14,1.0,1.0,1.383,0.00134074126668,0.150941649255,24,23600160
780,0.145,1.0,1.0,2.22,0.00203312798028,0.228901676132,33,4189908
781,0.15,1.0,1.0,1.9382,0.00182424996899,0.19644390532,26,38040452
782,0.1,1.0,1.0,1.2885,0.00120054480425,0.151743902938,21,15527370
783,0.105,1.0,1.0,1.5843,0.00142703181936,0.175860655508,28,71833009
784,0.11,1.0,1.0,0.724,0.000732456546654,0.0967074586693,11,75059206
785,0.115,1.0,1.0,0.9798,0.000945527905552,0.115771743544,15,90227597
786,0.12,1.0,1.0,1.3259,0.00126471170854,0.154346450297,21,36011711
787,0.125,1.0,1.0,1.9109,0.00172899305956,0.203840463671,27,53327907
788,0.13,1.0,1.0,1.36,0.00131678674836,0.161849590448,21,46998941
789,0.135,1.0,1.0,1.431,0.00135745393642,0.167453813232,21,90341898
790,0.14,1.0,1.0,1.1875,0.00115196422077,0.143673640348,19,44736652
791,0.145,1.0,1.0,2.203,0.00198727540506,0.226913029273,35,81907919
792,0.15,1.0,1.0,2.591,0.00234047406109,0.251964783502,38,64279114
793,0.1,1.0,1.0,1.3206,0.00122484112785,0.149541081094,22,31985393
794,0.105,1.0,1.0,1.683,0.00155652696164,0.193326960096,33,90361714
795,0.11,1.0,1.0,1.7746,0.00151723986267,0.188587555862,30,96729371
796,0.115,1.0,1.0,0.8199,0.000825630655556,0.103526323812,12,6744090
797,0.12,1.0,1.0,1.789,0.00162845847553,0.184196934578,33,71868502
798,0.125,1.0,1.0,1.1343,0.00109860037397,0.136634497476,15,74074705
799,0.13,1.0,1.0,2.7057,0.0023054935076,0.278682197308,50,83274717
800,0.135,1.0,1.0,1.2373,0.00118903400877,0.139391071563,21,78066624
801,0.14,1.0,1.0,2.5061,0.00222315864733,0.244731128218,37,77841255
802,0.145,1.0,1.0,1.3598,0.00132310511951,0.162124032251,18,19032485
803,0.15,1.0,1.0,2.0119,0.00187125100996,0.215189917177,35,73442576
804,0.1,1.0,1.0,0.3639,0.000389919400519,0.0519241696856,7,11000805
805,0.105,1.0,1.0,1.2118,0.00114868811768,0.145595434275,15,79029617
806,0.11,1.0,1.0,1.4995,0.00141560466564,0.170554277533,28,81977621
807,0.115,1.0,1.0,1.3048,0.00123496459602,0.154444571435,24,74274399
808,0.12,1.0,1.0,1.5098,0.00142444334807,0.17932581221,23,22162892
809,0.125,1.0,1.0,1.3635,0.0013102783737,0.156728913039,24,57734055
810,0.13,1.0,1.0,1.1248,0.00108191183167,0.131793103141,17,56981368
811,0.135,1.0,1.0,1.5535,0.00148023200174,0.171080464081,23,16403707
812,0.14,1.0,1.0,2.2413,0.00203984566042,0.23664395002,38,78831433
813,0.145,1.0,1.0,2.1267,0.00191511508269,0.204327131397,31,55198211
814,0.15,1.0,1.0,1.4907,0.00142200466793,0.160994654561,23,75531040
815,0.1,1.0,1.0,1.2429,0.00116359766403,0.144707674371,20,67846538
816,0.105,1.0,1.0,0.8591,0.00084699549622,0.109564746406,13,32079955
817,0.11,1.0,1.0,1.2917,0.00123500279779,0.143906093344,27,74170056
818,0.115,1.0,1.0,1.5179,0.00140772906985,0.178516043092,22,66205706
819,0.12,1.0,1.0,1.3798,0.00130890109948,0.157855855147,24,2193135
820,0.125,1.0,1.0,1.4544,0.00138857591041,0.170072050144,28,62822992
821,0.13,1.0,1.0,1.1334,0.00108278685319,0.139312087298,20,38324257
822,0.135,1.0,1.0,2.3445,0.00216224291445,0.239134427893,43,79808613
823,0.14,1.0,1.0,2.2901,0.0020866126653,0.234264122289,44,74179105
824,0.145,1.0,1.0,1.0797,0.00105155891956,0.131447268959,19,15743093
825,0.15,1.0,1.0,1.3028,0.00126682587473,0.151156198095,22,99637473
826,0.1,1.0,1.0,1.2199,0.00115850918871,0.141147744087,19,73564827
827,0.105,1.0,1.0,1.1493,0.00109823042002,0.125917412732,22,44712152
828,0.11,1.0,1.0,1.1595,0.00111571275482,0.135004268628,19,50589504
829,0.115,1.0,1.0,1.5702,0.00144507431269,0.175352065929,32,3898368
830,0.12,1.0,1.0,1.5797,0.00147829738385,0.182093535384,25,63424646
831,0.125,1.0,1.0,1.6544,0.00155820783937,0.187203591549,23,44297400
832,0.13,1.0,1.0,1.7649,0.00165525440104,0.195751945607,27,6256743
833,0.135,1.0,1.0,2.371,0.00205549591891,0.239233016805,37,70747032
834,0.14,1.0,1.0,1.581,0.00150470324922,0.174932264597,28,8153820
835,0.145,1.0,1.0,2.4976,0.00224071316336,0.239706004305,39,12301135
836,0.15,1.0,1.0,1.7449,0.00165285673753,0.174736877584,25,24716706
837,0.1,1.0,1.0,1.2735,0.00122188551748,0.139224497476,21,47497316
838,0.105,1.0,1.0,1.4685,0.00138784002375,0.165370442846,29,27418498
839,0.11,1.0,1.0,1.1254,0.00106146222491,0.134786636031,23,58812655
840,0.115,1.0,1.0,1.2583,0.00117212067923,0.145121551745,22,18535784
841,0.12,1.0,1.0,1.713,0.00159348174221,0.194382721636,31,34833356
842,0.125,1.0,1.0,1.3523,0.00128494457054,0.154873326103,21,91885751
843,0.13,1.0,1.0,1.4328,0.00134312264418,0.163634818149,17,82131082
844,0.135,1.0,1.0,2.0319,0.00189830007244,0.20689903377,30,9502612
845,0.14,1.0,1.0,1.6236,0.00152395291838,0.183468284227,27,48870037
846,0.145,1.0,1.0,1.7665,0.00164875306354,0.194714202797,25,63138095
847,0.15,1.0,1.0,1.4427,0.00138761181846,0.157347649943,18,70430471
848,0.1,1.0,1.0,1.1018,0.00106504916974,0.129421687667,14,98237660
849,0.105,1.0,1.0,1.2749,0.00118533044802,0.14140199413,19,91539186
850,0.11,1.0,1.0,1.1603,0.00110177514184,0.139904783872,19,63120603
851,0.115,1.0,1.0,1.5539,0.00143790846551,0.179612722591,27,89325720
852,0.12,1.0,1.0,2.6534,0.00232511152221,0.26840805781,42,36197315
853,0.125,1.0,1.0,1.44,0.00137298154713,0.172120059128,22,3589269
854,0.13,1.0,1.0,1.9718,0.00177886164577,0.221055074589,31,40338620
855,0.135,1.0,1.0,1.5093,0.00144897491413,0.1740622742,19,63396053
856,0.14,1.0,1.0,2.0579,0.00189840261402,0.219017711259,35,77036328
857,0.145,1.0,1.0,5.0394,0.00396317774206,0.382140213091,79,91299135
858,0.15,1.0,1.0,2.4577,0.00225916702941,0.245252066962,46,70477770
859,0.1,1.0,1.0,1.3618,0.00127671510575,0.157049766032,18,7369702
860,0.105,1.0,1.0,1.0962,0.00106236901422,0.131608463565,16,12274425
861,0.11,1.0,1.0,1.0621,0.00102628442967,0.132149804087,16,9622313
862,0.115,1.0,1.0,1.7213,0.00156116264549,0.189089726735,27,16041745
863,0.12,1.0,1.0,1.2263,0.00117033243443,0.136949070782,19,58062271
864,0.125,1.0,1.0,1.2602,0.00120160440062,0.150293737345,21,26374826
865,0.13,1.0,1.0,2.0549,0.00189992666345,0.227235630913,41,99444755
866,0.135,1.0,1.0,0.9193,0.000916808219496,0.103908770456,11,50249752
867,0.14,1.0,1.0,1.4545,0.00138843315644,0.167622464304,20,13580189
868,0.145,1.0,1.0,1.5978,0.00152262289372,0.170876985404,23,52562904
869,0.15,1.0,1.0,1.9927,0.00185073786763,0.210876393638,30,55045409
870,0.1,1.0,1.0,1.6169,0.00147291133688,0.181504464822,29,5156846
871,0.105,1.0,1.0,1.4269,0.0013080184376,0.16367784067,26,88751692
872,0.11,1.0,1.0,0.8361,0.000848360706724,0.109347848763,11,15807839
873,0.115,1.0,1.0,1.749,0.00160442152182,0.191158593605,26,73439622
874,0.12,1.0,1.0,1.3374,0.00126328416884,0.155653065904,23,71629584
875,0.125,1.0,1.0,1.5342,0.00146011374504,0.181744350649,24,34452194
876,0.13,1.0,1.0,1.3468,0.00126908681613,0.161303834017,19,74703996
877,0.135,1.0,1.0,0.8069,0.000806059287307,0.104207835163,12,33934225
878,0.14,1.0,1.0,2.1833,0.00202811168619,0.218406543057,31,68150122
879,0.145,1.0,1.0,3.4238,0.00285469356574,0.289390172541,57,33328339
880,0.15,1.0,1.0,1.8734,0.00178309661319,0.198822523535,32,77831963
881,0.1,1.0,1.0,1.4971,0.00140755816721,0.16953666124,26,84043590
882,0.105,1.0,1.0,1.7816,0.00164291120917,0.194684579755,34,10391045
883,0.11,1.0,1.0,1.5342,0.00140113222793,0.172204965233,23,25576589
884,0.115,1.0,1.0,1.3278,0.00126887570111,0.158084926029,23,36089718
885,0.12,1.0,1.0,1.1511,0.00107742573789,0.136259497433,17,75388131
886,0.125,1.0,1.0,1.4782,0.00138886141835,0.162324920759,20,17858717
887,0.13,1.0,1.0,2.3684,0.00214265827611,0.23306281127,33,38890166
888,0.135,1.0,1.0,2.2407,0.00204464742143,0.236274919597,34,44476215
889,0.14,1.0,1.0,1.6404,0.00155130940456,0.171202301389,22,74158821
890,0.145,1.0,1.0,1.3462,0.00130888601983,0.160899471025,23,89788980
891,0.15,1.0,1.0,2.016,0.00176826306826,0.198769651946,27,1713268
892,0.1,1.0,1.0,1.2794,0.00118431508528,0.150272066427,25,98367276
893,0.105,1.0,1.0,1.9453,0.0017526749379,0.20754431452,37,83657833
894,0.11,1.0,1.0,1.2927,0.00124048374599,0.152636029364,22,80554122
895,0.115,1.0,1.0,1.505,0.00141125569609,0.162844463886,25,67732489
896,0.12,1.0,1.0,1.5921,0.00149624658445,0.180821581808,34,1009127
897,0.125,1.0,1.0,1.1919,0.00113568021507,0.145738060591,19,22975554
898,0.13,1.0,1.0,1.9677,0.00176485647598,0.20743087043,34,10318343
899,0.135,1.0,1.0,1.3007,0.00126302479895,0.151581407486,23,5125931
900,0.14,1.0,1.0,1.4772,0.00141796111145,0.167882614271,18,17669941
901,0.145,1.0,1.0,2.5306,0.00230841071514,0.251851208429,42,86492135
902,0.15,1.0,1.0,1.6178,0.00155008996395,0.182183575244,28,63804203
903,0.1,1.0,1.0,1.0882,0.00104900844898,0.124396235314,18,22844960
904,0.105,1.0,1.0,1.6777,0.00155745184651,0.184132035464,27,44945275
905,0.11,1.0,1.0,1.8828,0.00172590354194,0.207365119958,33,77987482
906,0.115,1.0,1.0,1.1947,0.00112553945558,0.145553747554,20,757700
907,0.12,1.0,1.0,1.2378,0.00118988047949,0.140344995962,20,39326466
908,0.125,1.0,1.0,1.4023,0.00134997604112,0.158887803173,19,48272532
909,0.13,1.0,1.0,1.1064,0.00107475241847,0.131351949504,18,61254576
910,0.135,1.0,1.0,1.7843,0.00167425274279,0.201269425872,30,25585789
911,0.14,1.0,1.0,1.8481,0.00165959412173,0.204913092031,36,89782222
912,0.145,1.0,1.0,1.4978,0.00143160215808,0.174571713995,23,72547857
913,0.15,1.0,1.0,2.2504,0.00205216170893,0.235365286587,34,11612147
