LR_length_mm;relative_distance_to_tip
0.71;79.1010809785701
1.55;77.5839180732031
24.34;72.9186421391997
30.33;71.7049118149061
38.67;69.6757064289778
16.88;68.5567987862697
5.97;65.2948985397307
40.51;63.5691257348758
12.89;62.6019343827043
1.6;61.5968139578987
24.12;58.0883747392376
13.79;57.8987293760667
3.23;56.0212402806751
0.73;54.1247866489664
0.72;52.8541627157216
12.5;51.3369998103546
0.7;50.0663758771098
0.28;46.7286174853025
0.44;34.1551299070738
1.42;32.7138251469752
102.14;97.2090573986308
124.44;96.7219589257504
0.0;94.9578725645076
72.32;90.9820958399158
107.22;90.0276461295419
51.62;87.7501316482359
31.19;84.768299104792
6.5;80.4370721432333
0.0;78.9889415481832
43.67;76.3362295945234
1.13;74.3154291732491
48.59;73.0252764612954
0.57;72.0313322801475
19.0;70.695102685624
15.82;68.3846761453397
0.52;67.7395997893628
0.31;66.7324907846235
26.18;65.1658767772512
0.37;64.4220642443391
0.18;62.7106371774618
0.54;61.2493417588204
7.5;61.1440231700895
12.02;59.932859399684
20.42;58.9718272775145
10.53;57.8725645076356
1.85;57.6224328593997
24.58;56.7206424433913
14.92;54.4628751974723
0.55;54.0613480779358
9.33;53.0674038967878
20.99;52.9620853080569
26.88;51.428383359663
11.36;50.9017904160084
8.63;48.5057925223802
21.52;47.0905739863086
1.72;46.254607688257
16.95;45.4449710373881
9.03;44.3522906793049
5.18;43.4899947340706
9.09;43.2596103212217
8.06;42.4828857293312
9.07;42.2130068457083
4.4;39.7051079515535
9.13;38.2438125329121
5.14;38.0331753554502
3.68;36.2625065824118
3.76;35.1237493417588
3.01;35.0645076355977
0.66;34.3272775144813
3.53;33.484728804634
4.12;31.2532912058978
3.02;29.5813586097946
2.38;28.6269088994207
3.89;28.3636124275935
3.56;27.2446024223275
2.76;25.5529225908373
1.86;23.3609794628752
0.63;22.6303317535545
0.35;22.0115850447604
0.89;21.3730911005792
92.55;97.4960712414877
62.65;97.2760607647983
112.75;95.6940806705081
73.39;93.9025667888947
72.7;92.613933996857
77.3;91.4719748559455
80.71;90.2147721320063
95.6;88.8632792037716
18.13;87.5955997904662
75.31;86.6946045049764
6.05;85.5945521215296
62.86;83.331587218439
91.27;82.2001047668937
2.71;81.0581456259822
39.82;78.1246726034573
11.2;77.7684651650079
2.61;76.7103195390257
56.27;75.0864326872708
2.45;72.9177579884756
29.94;71.2519643792562
1.99;68.957569408067
53.23;67.0403352540597
53.32;65.2488213724463
43.91;61.4038763750655
0.86;60.0
0.72;57.7894185437402
1.17;56.2388685175485
0.71;55.9140911471975
16.04;52.3729701414353
1.25;51.0110005238345
47.07;49.6490309062336
20.51;47.9518072289157
0.75;46.6946045049764
9.11;44.7983237297014
34.87;42.2839182818229
32.9;39.8323729701414
6.27;39.2037716081718
26.84;36.4798323729701
19.22;34.1749607124149
8.68;32.1110529072813
23.46;31.4824515453117
27.36;25.8459926663175
24.98;23.3944473546359
2.91;19.7171293871137
108.92;98.998255024882
107.09;97.1757254572481
107.81;96.6651586634783
110.2;96.1675176113229
77.59;95.7345052672397
119.98;95.346733018807
133.49;94.8232404834228
9.26;93.5371291927874
120.07;92.1217604860079
1.57;90.1764363730369
21.49;89.2522458476055
1.86;88.6641246041492
0.5;85.7235183868675
0.91;84.8768823111226
2.46;83.4033477670781
0.64;82.1430879596717
76.19;80.9474568603374
45.69;80.023266334906
8.35;76.3911329412525
66.82;74.885284043172
56.55;72.1450268209139
65.62;70.6197893104117
14.7;68.622762230983
21.4;67.0587474956376
0.44;65.6821560137013
6.26;64.8484456795709
0.46;63.6269630970077
29.98;62.844955729335
0.66;61.6945647256511
6.87;60.5506365927745
6.87;59.5359658760421
10.98;58.4502035804304
21.7;56.459639371809
12.94;54.7146642538616
12.2;52.478510954566
9.78;50.7723130614619
3.88;49.5960705745492
5.6;48.9691721062496
11.48;48.1871647385769
11.63;47.3793058876753
6.96;45.5697020616558
6.19;44.2771279002133
4.88;44.0832417759969
1.64;43.204291346216
4.57;43.0879596716862
2.3;41.8147741226653
6.9;41.0069152717637
0.21;39.8888386221159
10.57;39.6626381438635
4.21;38.1503263749758
10.74;36.6574032185097
7.39;35.2549602533445
2.33;35.1580171912363
2.9;34.3372325987204
4.08;33.9429974794804
7.22;33.1351386285788
2.2;32.6051832223874
3.51;31.4289407354747
3.53;30.4724358560072
3.1;30.3496413106702
1.58;29.3478963355523
2.16;29.1216958572998
3.61;28.4624830349641
2.52;27.8678989207006
2.39;26.5171589219932
1.78;25.4507852388031
2.34;24.9660699282621
1.73;24.1323595941317
0.19;23.6217928003619
1.98;23.473146771796
0.12;22.9496542364118
0.2;21.9672978737155
0.73;20.1770826601176
0.64;19.0396173980482
0.45;17.8892263943644
103.5;91.3637276561559
69.6;89.9477806788512
88.85;89.1845752159068
48.55;87.8790921871862
67.71;87.6581642900181
60.26;87.407109861418
38.24;86.6238200441856
23.35;85.8104036955212
1.32;84.0329383410323
48.23;82.8981723237598
0.93;82.0044185579434
53.26;81.1207069692709
42.98;80.0562361920064
0.94;79.8654348262703
50.0;77.4954810202852
0.41;76.3908415344447
39.95;74.4225748142197
3.31;73.006627836915
