,seed,primary_length,Jv,k0,surface,length,axfold,radfold,delta,nude_length,integral_diff,0.01,0.02,0.03,0.045,0.06,0.08
3783,79873882,0.12,0.0116682740185,327.6558,0.00030781098625200004,1.0233,1.0,1.0,0.002,0.02,-0.0033461194244200003,6,16,21,18,10,6
3784,7822706,0.12,0.0153182731195,327.6558,0.00044833486547,1.6456,1.0,1.0,0.002,0.025,-0.0027815258022100002,9,20,22,24,25,10
3785,40374357,0.12,0.014769019703200001,327.6558,0.000402180546557,1.421,1.0,1.0,0.002,0.03,-0.00272338968606,11,16,22,18,18,12
3786,4860980,0.12,0.011391090226399999,327.6558,0.000345439600756,1.1925,1.0,1.0,0.002,0.035,-0.00296555737222,3,14,20,17,12,5
3836,42694808,0.13,0.012064403566100002,327.6558,0.000337732143003,1.1507,1.0,1.0,0.002,0.005,-0.004942081665,7,16,18,17,11,8
3837,48845172,0.13,0.018423274700599998,327.6558,0.000590445757916,2.1883,1.0,1.0,0.002,0.01,0.00012205450485100002,10,28,34,39,22,14
3838,33066575,0.13,0.0111748802605,327.6558,0.000298890496744,0.9715,1.0,1.0,0.002,0.015,-0.00439588182815,7,12,18,14,11,4
3839,26115295,0.13,0.00964922107943,327.6558,0.000283231919312,0.9105,1.0,1.0,0.002,0.02,-0.00470624406326,4,9,19,12,10,6
3840,55045616,0.13,0.00962213345907,327.6558,0.00026582460574599997,0.8347,1.0,1.0,0.002,0.025,-0.00517493830422,5,12,10,14,7,6
3841,62390111,0.13,0.0114629160485,327.6558,0.000310675993088,1.0453,1.0,1.0,0.002,0.03,-0.00469725318746,6,14,17,14,10,8
3842,58135421,0.13,0.0132608457147,327.6558,0.000352885803663,1.1956,1.0,1.0,0.002,0.035,-0.00412298509504,8,15,23,16,11,8
3892,41116850,0.14,0.010199812709999999,327.6558,0.000290952131931,0.924,1.0,1.0,0.002,0.005,-0.00545080817867,5,10,12,18,13,5
3893,27791163,0.14,0.009812410714819999,327.6558,0.00029932020378699997,0.9648,1.0,1.0,0.002,0.01,-0.005436158935939999,5,9,14,14,11,9
3894,4389110,0.14,0.010611044051000001,327.6558,0.00032879318093,1.0707,1.0,1.0,0.002,0.015,-0.00295726633609,3,15,15,13,13,6
3895,82080901,0.14,0.0121995981713,327.6558,0.000368050459898,1.1923,1.0,1.0,0.002,0.02,-0.00233635885827,7,13,20,20,14,7
3896,99720711,0.14,0.012595456529000001,327.6558,0.000323998626736,1.074,1.0,1.0,0.002,0.025,-0.00557294162674,8,17,19,13,12,5
3897,82923486,0.14,0.012235679938,327.6558,0.00036561177346800005,1.2417,1.0,1.0,0.002,0.03,-0.00416221795917,6,14,18,18,12,6
3898,84327019,0.14,0.0176192017127,327.6558,0.0005883554992439999,2.1533,1.0,1.0,0.002,0.035,-8.34081160916e-05,8,23,29,29,24,17
3948,31238530,0.1,0.007068018438479999,327.6558,0.000192868090702,0.5886,1.0,1.0,0.002,0.005,-0.004513956716979999,4,10,10,7,9,1
3949,49939752,0.1,0.0067144771585,327.6558,0.000220884813987,0.7171,1.0,1.0,0.002,0.01,-0.00236392010606,4,6,10,14,12,2
3950,11987897,0.1,0.0103269549358,327.6558,0.000304574768828,1.0276,1.0,1.0,0.002,0.015,-0.000845213711978,7,15,20,16,10,5
3951,74891343,0.1,0.008441407106370001,327.6558,0.000236952866605,0.7791,1.0,1.0,0.002,0.02,-0.00373247784995,6,10,16,13,8,5
3952,2572784,0.1,0.008964856408600001,327.6558,0.000229837850395,0.74,1.0,1.0,0.002,0.025,-0.00367828335244,5,16,12,10,9,2
3953,59134625,0.1,0.007270029360739999,327.6558,0.00016629222747200002,0.5021,1.0,1.0,0.002,0.03,-0.00659536156038,5,6,10,8,5,1
3954,6573750,0.1,0.0134058180874,327.6558,0.0003601778046369999,1.3167,1.0,1.0,0.002,0.035,-0.0029981464876,10,18,23,17,17,5
4004,6333114,0.11,0.00765953881562,327.6558,0.000226991755947,0.7499,1.0,1.0,0.002,0.005,-0.0061009229684199995,3,7,11,11,9,3
4005,59982294,0.11,0.009407859722690001,327.6558,0.00029730757386900003,0.992,1.0,1.0,0.002,0.01,-0.00305226271393,4,12,19,20,8,6
4006,34892562,0.11,0.0123704428215,327.6558,0.00030183643100700004,1.0227,1.0,1.0,0.002,0.015,-0.00379567434038,9,15,19,14,9,4
4007,6768144,0.11,0.0148903696355,327.6558,0.0004130699035969999,1.4688,1.0,1.0,0.002,0.02,-0.000711811794889,9,22,24,23,20,8
4008,37549505,0.11,0.0159392960524,327.6558,0.000499283518666,1.8235,1.0,1.0,0.002,0.025,0.00109617634092,11,20,28,35,22,13
4009,70374075,0.11,0.0117292974052,327.6558,0.000310860278913,1.0749,1.0,1.0,0.002,0.03,-0.00366553661487,7,15,21,16,11,5
4010,31186685,0.11,0.010633086234799999,327.6558,0.000278108421517,0.9141,1.0,1.0,0.002,0.035,-0.00289556565722,7,17,17,14,8,4
4060,40342173,0.12,0.011096451899000001,327.6558,0.000310363278956,1.0378,1.0,1.0,0.002,0.005,-0.00304181972382,6,9,19,18,11,4
4061,26449833,0.12,0.0114240807905,327.6558,0.00030715828896200003,0.97,1.0,1.0,0.002,0.01,-0.0015158409689100003,7,12,17,18,11,5
4062,47154816,0.12,0.0101156834164,327.6558,0.000306982799597,1.0027,1.0,1.0,0.002,0.015,-0.00221393135272,7,9,18,15,13,6
4063,63385937,0.12,0.012184591761,327.6558,0.000356766361741,1.2034,1.0,1.0,0.002,0.02,-0.00184307716759,7,13,21,24,9,8
4064,75284733,0.12,0.012946028919600002,327.6558,0.00036960787304000003,1.2776,1.0,1.0,0.002,0.025,-0.00251574115407,8,18,23,19,16,5
4065,14534060,0.12,0.014362343268500001,327.6558,0.000463463896044,1.6438,1.0,1.0,0.002,0.03,0.000391933071299,7,19,30,26,16,9
4066,27737786,0.12,0.014513067776799999,327.6558,0.00043028255151599995,1.558,1.0,1.0,0.002,0.035,-0.00148232125998,8,20,24,22,18,12
4116,12451527,0.13,0.012012796882,327.6558,0.00035574597244699996,1.1937,1.0,1.0,0.002,0.005,-0.0029440818925,7,16,24,13,12,10
4117,45600682,0.13,0.0128385172703,327.6558,0.00035518255922099997,1.1895,1.0,1.0,0.002,0.01,-0.00268324370579,7,20,22,16,14,4
4118,97840788,0.13,0.011741350125799998,327.6558,0.000330909609069,1.0767,1.0,1.0,0.002,0.015,-0.0034309276781,6,12,16,18,12,7
4119,89686094,0.13,0.00980718505701,327.6558,0.000235372582668,0.7471,1.0,1.0,0.002,0.02,-0.007317110981449999,9,13,14,7,5,7
4120,16576858,0.13,0.012294490086100002,327.6558,0.000349634632258,1.1548,1.0,1.0,0.002,0.025,-0.00280362617798,7,13,19,16,13,6
4121,11448574,0.13,0.0136021050171,327.6558,0.000490469466317,1.8097,1.0,1.0,0.002,0.03,-0.00172744482525,6,14,20,27,22,20
4122,55723494,0.13,0.0116727957547,327.6558,0.00036940643411900005,1.2555,1.0,1.0,0.002,0.035,-0.00197383950581,5,15,16,21,14,6
4172,72793318,0.14,0.011483294501799999,327.6558,0.000310551523187,1.0041,1.0,1.0,0.002,0.005,-0.005530828428270001,5,13,14,15,12,4
4173,1571945,0.14,0.0162894890164,327.6558,0.000547293142819,1.9218,1.0,1.0,0.002,0.01,0.0007969876848899999,9,21,29,36,18,11
4174,67300860,0.14,0.0107454060243,327.6558,0.00035789054925600003,1.1968,1.0,1.0,0.002,0.015,-0.00396786331956,5,8,13,19,17,9
4175,60710281,0.14,0.0161607574224,327.6558,0.000568019052652,2.0174,1.0,1.0,0.002,0.02,0.00117887183041,10,21,36,37,19,14
4176,81188603,0.14,0.010600475484100001,327.6558,0.000305699396166,0.9647,1.0,1.0,0.002,0.025,-0.00437091180476,6,13,18,14,12,6
4177,40195412,0.14,0.0109293979323,327.6558,0.000391848357258,1.3638,1.0,1.0,0.002,0.03,-0.00423272201735,4,9,19,21,17,9
4178,77499019,0.14,0.0130134429365,327.6558,0.00041835741137800003,1.4253,1.0,1.0,0.002,0.035,-0.00242880206164,7,13,24,20,15,10
4228,86812253,0.1,0.0051418520697,327.6558,0.000127447502452,0.3711,1.0,1.0,0.002,0.005,-0.00872786099132,3,6,6,6,7,1
4229,16537599,0.1,0.0120584651648,327.6558,0.000315593653733,1.1023,1.0,1.0,0.002,0.01,-0.00287388227087,9,18,27,18,10,5
