,seed,primary_length,Jv,k0,surface,length,axfold,radfold,delta,nude_length,integral_diff,0.01,0.02,0.03,0.045,0.06,0.08
7590,29516143,0.16,0.013319136231500002,327.6558,0.000408794296527,1.4205,1.0,1.0,0.002,0.015,-0.00619350475947,7,15,20,18,15,11
7591,45644806,0.16,0.0146389806354,327.6558,0.000544799786394,1.9654,1.0,1.0,0.002,0.02,-0.0029660685277600003,7,20,29,31,25,14
7592,41363681,0.16,0.0159021404248,327.6558,0.0005935716677389999,2.1195,1.0,1.0,0.002,0.025,-0.0010552902043099999,8,22,29,26,21,15
7593,66754039,0.16,0.012529276410100001,327.6558,0.00042484480020800003,1.4246,1.0,1.0,0.002,0.03,-0.0033475422029000004,8,18,25,20,14,11
7594,41881085,0.16,0.0132331654397,327.6558,0.00054892501799,1.9232,1.0,1.0,0.002,0.035,-8.63013616541e-05,8,15,28,25,25,13
7595,2122302,0.16,0.0114840966634,327.6558,0.000423934718515,1.4962,1.0,1.0,0.00225,0.005,-0.00447216405804,6,13,20,20,17,10
7596,67349895,0.16,0.00985296650064,327.6558,0.00031766390045999995,1.0090000000000001,1.0,1.0,0.00225,0.01,-0.00556268945632,6,12,11,15,11,5
7597,94519898,0.16,0.0128901527874,327.6558,0.000456805416078,1.5825,1.0,1.0,0.00225,0.015,-0.00394699953009,7,11,18,23,14,14
7598,94268715,0.16,0.0126546264596,327.6558,0.000468917261067,1.5868,1.0,1.0,0.00225,0.02,-0.00115853234886,7,17,23,20,20,7
7599,13667881,0.16,0.0129679484884,327.6558,0.00042555876483800004,1.4873,1.0,1.0,0.00225,0.025,-0.0042153899071799995,8,19,28,18,13,10
7600,81003649,0.16,0.011489515145900001,327.6558,0.0003963902771369999,1.4038,1.0,1.0,0.00225,0.03,-0.006410923885720001,7,10,13,26,20,9
7601,29310754,0.16,0.0142652735748,327.6558,0.000526357701323,1.8691,1.0,1.0,0.00225,0.035,-0.00189375454432,10,19,20,28,23,12
7602,69064369,0.16,0.012383202684899999,327.6558,0.000475614489437,1.6837,1.0,1.0,0.0025,0.005,-0.00117398113178,4,13,21,25,25,11
7603,54905156,0.16,0.00911810494426,327.6558,0.000303030550375,0.9555,1.0,1.0,0.0025,0.01,-0.00416226808383,5,7,12,17,6,9
7604,12165278,0.16,0.0120843713717,327.6558,0.000434783040072,1.4708,1.0,1.0,0.0025,0.015,-0.000997734514641,6,15,21,20,19,13
7605,50964363,0.16,0.0120972017218,327.6558,0.00040219189399,1.4081,1.0,1.0,0.0025,0.02,-0.0036526356465499997,6,14,22,15,16,9
7606,95927503,0.16,0.00991704018191,327.6558,0.00031534251481600003,1.0128,1.0,1.0,0.0025,0.025,-0.0045569142848,5,9,12,10,8,11
7607,2075472,0.16,0.0115825895509,327.6558,0.00039821967680499996,1.3092,1.0,1.0,0.0025,0.03,-0.00158225418132,7,12,18,18,12,10
7608,65508112,0.16,0.009012549048350001,327.6558,0.00026183365210299996,0.8048,1.0,1.0,0.0025,0.035,-0.00621055368081,4,9,11,10,6,4
7609,8406826,0.16,0.0125110674238,327.6558,0.00040263400404100003,1.3942,1.0,1.0,0.00275,0.005,-0.0032305625427899998,7,11,16,18,13,8
7610,11212088,0.16,0.00966378865019,327.6558,0.00030294434507200003,0.9554,1.0,1.0,0.00275,0.01,-0.00339622770431,4,10,12,17,10,6
7611,9496598,0.16,0.009411704675639999,327.6558,0.00033105343118099997,1.0629,1.0,1.0,0.00275,0.015,-0.00248543783842,4,8,15,16,13,6
7612,48869976,0.16,0.0108976998857,327.6558,0.0003738081824180001,1.2174,1.0,1.0,0.00275,0.02,-0.00114923987699,5,11,15,20,16,10
