seed,primary_length,Jv,k0,surface,length,axfold,radfold,delta,nude_length,integral_diff,0.01,0.02,0.03,0.045,0.06,0.08
3156649,0.18,0.0118670571914,327.66,0.000509218679769,1.6866,1,1,0.00175,0.02,-0.00396737635171,8,20,25,20,16,13
26558437,0.18,0.0181635641099,327.66,0.000918903529849,3.4573,1,1,0.00175,0.025,-0.00102484939834,12,32,40,50,46,26
89900047,0.18,0.00981694598272,327.66,0.000473354195204,1.5312,1,1,0.00175,0.03,-0.00353802324632,7,15,20,17,17,12
80515046,0.18,0.0111323859786,327.66,0.000508535194871,1.7199,1,1,0.00175,0.035,-0.00498871377027,7,13,22,22,16,12
43835762,0.18,0.00892845508052,327.66,0.000401406634057,1.2787,1,1,0.002,0.005,-0.00449324662074,5,11,15,18,13,12
80021757,0.18,0.0124088624282,327.66,0.000609780243797,2.1428,1,1,0.002,0.01,-0.0018532334839,7,17,28,34,24,14
20709539,0.18,0.0109010776594,327.66,0.000419592874105,1.3795,1,1,0.002,0.015,-0.00550843604034,7,14,20,14,13,11
35889846,0.18,0.0108193207742,327.66,0.000476202048944,1.555,1,1,0.002,0.02,-0.0026388728424,8,13,18,21,19,12
93024272,0.18,0.0101192410773,327.66,0.000411698931413,1.3526,1,1,0.002,0.025,-0.004864216255,6,16,19,19,8,8
37967624,0.18,0.0121840476469,327.66,0.000520446920409,1.7705,1,1,0.002,0.03,-0.00252026364142,7,19,26,21,20,10
53614548,0.18,0.012298771603,327.66,0.000515286609431,1.7816,1,1,0.002,0.035,-0.00392158115788,7,14,23,28,16,13
65655267,0.18,0.0084834871164,327.66,0.00041057518372,1.3203,1,1,0.00225,0.005,-0.00302616113248,5,7,14,19,18,8
46266215,0.18,0.00947847061085,327.66,0.000431646222639,1.4308,1,1,0.00225,0.01,-0.00366711192463,4,14,17,18,12,12
33905702,0.18,0.013358415002,327.66,0.000603042683661,2.19,1,1,0.00225,0.015,-0.00302188307274,8,18,27,27,23,14
57241244,0.18,0.01216954671,327.66,0.00046868679383,1.5824,1,1,0.00225,0.02,-0.00340920409747,8,19,19,18,13,10
75212063,0.18,0.0134783068184,327.66,0.00055475663077,1.9585,1,1,0.00225,0.025,-0.002867664136,8,17,28,26,22,20
62981286,0.18,0.00897379503658,327.66,0.000358661119102,1.1461,1,1,0.00225,0.03,-0.00529044184857,5,11,13,16,12,6
13665456,0.18,0.0100133126007,327.66,0.000471285267946,1.5687,1,1,0.00225,0.035,-0.00236545747154,6,11,17,24,18,10
89419724,0.18,0.0129608132984,327.66,0.000611577624352,2.1668,1,1,0.0025,0.005,0.000873688500029,8,14,23,35,18,14
85705422,0.18,0.0073817339232,327.66,0.000303295763626,0.954,1,1,0.0025,0.01,-0.00613278394758,3,6,13,16,9,5
86802107,0.18,0.0104749434386,327.66,0.000414506453387,1.3771,1,1,0.0025,0.015,-0.00302266788693,5,12,14,17,12,9
80900523,0.18,0.0113482736769,327.66,0.000468012545215,1.5782,1,1,0.0025,0.02,-0.00160435941014,7,14,17,25,16,16
74392266,0.18,0.00727985347382,327.66,0.000342719295677,1.0657,1,1,0.0025,0.025,-0.00356136265112,4,6,8,15,11,9
57615143,0.18,0.00963430577383,327.66,0.00040468859307,1.3373,1,1,0.0025,0.03,-0.00316696570126,4,10,18,19,16,12
70748366,0.18,0.0114176140777,327.66,0.000432257356658,1.4856,1,1,0.0025,0.035,-0.0044309167796,5,10,15,24,15,13
93128202,0.18,0.00846738924772,327.66,0.000311971711562,0.9718,1,1,0.00275,0.005,-0.00413426034219,5,9,9,15,12,4
