distance_from_base_(mm)	lateral_root_length_(mm)	order
31.386	1.29	1-7
34.746	2.28	1-7
36.736	1.3	1-7
40.436	0.49	1-7
45.066	0.48	1-7
79.476	0.0	1-7
2.977	0.647	1-8
5.089	0.276	1-8
6.076	0.563	1-8
8.392	0.487	1-8
10.534	0.662	1-8
13.248	0.549	1-8
16.044	0.677	1-8
17.465	3.634	1-8
18.65	4.596	1-8
20.927	3.067	1-8
24.742	2.03	1-8
27.671	1.67	1-8
33.554	0.768	1-8
36.181	0.523	1-8
43.929	0.48	1-8
52.209	0.44	1-8
70.559	0.0	1-8
25.0	0.42	1-9
26.46	0.63	1-9
28.55	0.21	1-9
32.04	0.2	1-9
36.61	0.35	1-9
37.87	3.16	1-9
39.02	5.21	1-9
2.45	0.47	1-15
8.75	0.45	1-15
12.03	1.71	1-15
21.152	0.27	1-15
22.645	0.38	1-15
24.352	0.26	1-15
25.301	0.23	1-15
66.664	0.0	1-15
1.89	0.42	1-16
5.41	0.52	1-16
6.73	1.17	1-16
11.82	2.46	1-16
63.4	0.0	1-16
3.434	2.92	1-25
6.69	2.22	1-25
9.67	2.63	1-25
11.859	2.38	1-25
19.589	0.0	1-25
1.88	2.18	1-28
2.41	0.0	1-28
