seed,primary_length,Jv,k0,surface,length,axfold,radfold,delta,nude_length,integral_diff,0.01,0.02,0.03,0.045,0.06,0.08
2136488,0.16,0.0132830735637,327.66,0.000526179133196,1.8033,1,1,0.00175,0.005,-0.00286218128243,8,18,27,28,18,10
48312697,0.16,0.0117581426036,327.66,0.000441362351903,1.4616,1,1,0.00175,0.01,-0.0041917471229,9,20,21,25,16,9
31173830,0.16,0.0136968735999,327.66,0.000548601748106,1.8326,1,1,0.00175,0.015,-0.000850442015855,8,25,28,31,16,11
23850063,0.16,0.0164104961691,327.66,0.000666662680648,2.3834,1,1,0.00175,0.02,-0.000897388945476,13,27,32,29,32,19
63224790,0.16,0.0168312855983,327.66,0.000710880151141,2.5753,1,1,0.00175,0.025,-0.000485521321206,12,27,35,37,36,16
41501232,0.16,0.010891092751,327.66,0.000378026084714,1.2218,1,1,0.00175,0.03,-0.00485840320777,8,15,20,18,11,8
19978281,0.16,0.0167821165214,327.66,0.000656455049214,2.376,1,1,0.00175,0.035,-0.00167991189513,11,25,34,30,26,14
36627949,0.16,0.0109850858888,327.66,0.00043996767326,1.4781,1,1,0.002,0.005,-0.00296249582319,5,13,19,23,17,11
45416167,0.16,0.0103271474922,327.66,0.000479828389344,1.6814,1,1,0.002,0.01,-0.00350050165531,5,10,16,24,22,12
25422086,0.16,0.0159338487707,327.66,0.000512760662123,1.8063,1,1,0.002,0.015,-0.00361320140554,8,22,31,27,19,13
37430610,0.16,0.0141577379987,327.66,0.000497279421314,1.7336,1,1,0.002,0.02,-0.00293621455391,8,18,23,29,14,11
46320703,0.16,0.00942794842405,327.66,0.000404832855005,1.3524,1,1,0.002,0.025,-0.00397990197319,4,9,13,19,18,11
92962716,0.16,0.0113107021992,327.66,0.0004878116161,1.719,1,1,0.002,0.03,-0.0032992197834,5,13,20,24,28,10
83317802,0.16,0.015331003863,327.66,0.000558924833071,1.9978,1,1,0.002,0.035,-0.0019064455348,9,24,30,25,26,11
68412648,0.16,0.0113392437409,327.66,0.000338722624335,1.0801,1,1,0.00225,0.005,-0.00403556668628,8,12,16,17,10,9
