seed,primary_length (m),k (10-8 m/s/MPa),_length (m),surface (m2),Jv (uL/s)
47890720,0.060000000000000005,32.76558,0.2863,9.570152019221604e-05,0.0046735292134554175
1053872,0.060000000000000005,32.76558,0.8368,0.00023794026917616228,0.009403033629931359
16989531,0.060000000000000005,32.76558,0.5146000000000001,0.00015662403891287424,0.007478732978717086
65446772,0.060000000000000005,32.76558,0.3793,0.00012266222852235243,0.005825027270523735
44683931,0.060000000000000005,32.76558,0.4424,0.0001390135271339081,0.0065817510626419015
37068788,0.060000000000000005,32.76558,0.549,0.0001603708908071187,0.006813467500833324
18492360,0.060000000000000005,32.76558,0.30960000000000004,9.959615260487085e-05,0.005527623533649342
70365893,0.060000000000000005,32.76558,0.49820000000000003,0.00014633789907834898,0.007371752855669644
32300391,0.060000000000000005,32.76558,0.30910000000000004,0.00010110474539712492,0.0048611196638858175
34607226,0.060000000000000005,32.76558,0.4586,0.0001394753412539908,0.005975394476317198
24998525,0.060000000000000005,32.76558,0.4096,0.0001223204860734933,0.004834946686866245
97310920,0.060000000000000005,32.76558,0.2106,7.275551594595532e-05,0.0037461950174085654
80913215,0.060000000000000005,32.76558,0.6228,0.00017462524543744476,0.007742041899943899
56248396,0.060000000000000005,32.76558,0.6019,0.00017710087699712558,0.0064595249807631394
28112746,0.060000000000000005,32.76558,0.3297,0.00010924806771449534,0.005197520011932766
62951458,0.060000000000000005,32.76558,0.6039,0.00017755961235640293,0.007857014062486973
90587664,0.060000000000000005,32.76558,0.3425,0.00011246845151183708,0.005336575721241169
93929518,0.060000000000000005,32.76558,0.3032,0.00010035968528339972,0.0049130126643290575
20191982,0.060000000000000005,32.76558,0.2751,9.185614795236898e-05,0.004184654690064701
7254358,0.060000000000000005,32.76558,0.2341,7.997213126236954e-05,0.0040787075652501704
61833300,0.060000000000000005,32.76558,0.19540000000000002,6.807579952916793e-05,0.0039361972439499
15451450,0.060000000000000005,32.76558,0.4752,0.000142184650758448,0.005859780698067454
30349429,0.07,32.76558,3.4172000000000002,0.000821928150384451,0.018249723140156233
83180126,0.07,32.76558,2.2764,0.0005915377064075121,0.013810658827678044
22165538,0.07,32.76558,0.9222,0.00026559853673906224,0.008911337477770391
89580850,0.07,32.76558,1.9359000000000002,0.0005056522872400158,0.011945128773092912
49002952,0.07,32.76558,1.8885,0.0005002158114184543,0.013839998807346059
73170809,0.07,32.76558,1.0282,0.0002990554303582328,0.00781198906940142
81473096,0.07,32.76558,0.9464,0.0002747209049909777,0.009474201121388515
36022972,0.07,32.76558,1.4231,0.00038657228487369,0.0136819458567692
35142464,0.07,32.76558,1.3745,0.00037956194653091825,0.011886710086195592
98372899,0.07,32.76558,1.0615,0.000294963757254385,0.010333547913604916
31514934,0.07,32.76558,1.5794000000000001,0.0004250136922289354,0.012737554073675788
85200586,0.07,32.76558,2.0593,0.000527997933130213,0.012708862681354167
7494220,0.07,32.76558,1.2173,0.0003407880330092224,0.010477166098878905
5402122,0.07,32.76558,0.807,0.00023465699069388616,0.008232103756886289
62309856,0.07,32.76558,0.9587,0.00027657739775369144,0.008703062399943905
70649532,0.07,32.76558,0.9530000000000001,0.0002754320987358993,0.008438569564631437
68629555,0.07,32.76558,0.4303,0.00013823328118245894,0.006152337291805009
356136,0.07,32.76558,1.0104,0.00027750872289587515,0.009822177083860207
69858248,0.07,32.76558,0.7130000000000001,0.00020266958960476426,0.007812627222433987
34554125,0.07,32.76558,0.7678,0.0002131090517271712,0.008831355732584553
94388420,0.07,32.76558,0.8560000000000001,0.0002426762389510084,0.00876694364213618
17002059,0.07,32.76558,0.5145000000000001,0.00015815286356181583,0.005887480089665777
59994951,0.07,32.76558,1.1042,0.0003053881334488476,0.010359426951392038
38892870,0.07,32.76558,0.8611000000000001,0.00025147010342549804,0.008113245145314201
37334865,0.07,32.76558,1.0662,0.0002831557859561941,0.00873056453649073
57435741,0.07,32.76558,0.49970000000000003,0.0001606897624614249,0.0067124343163190185
