seed,primary_length (m),k (10-8 m/s/MPa),ax,length (m),surface (m2),Jv (uL/s)
97195335,0.06,32.76558,1.5,0.3594,0.000114189478799,0.0063181797969
97195335,0.06,32.76558,1.75,0.3594,0.000114189478799,0.00671156081241
97195335,0.06,32.76558,2.0,0.3594,0.000114189478799,0.00704606810033
82185391,0.06,32.76558,0.05,0.3382,0.000111985086066,0.000906696784759
82185391,0.06,32.76558,0.25,0.3382,0.000111985086066,0.00270267826389
82185391,0.06,32.76558,0.5,0.3382,0.000111985086066,0.00404042388363
82185391,0.06,32.76558,0.75,0.3382,0.000111985086066,0.0049635565529
82185391,0.06,32.76558,1.0,0.3382,0.000111985086066,0.00565619032666
82185391,0.06,32.76558,1.25,0.3382,0.000111985086066,0.00620028832144
82185391,0.06,32.76558,1.5,0.3382,0.000111985086066,0.00664098663465
82185391,0.06,32.76558,1.75,0.3382,0.000111985086066,0.00700607625925
82185391,0.06,32.76558,2.0,0.3382,0.000111985086066,0.00731390574418
5368600,0.06,32.76558,0.05,0.7149,0.000200179267958,0.000803263792415
5368600,0.06,32.76558,0.25,0.7149,0.000200179267958,0.00261702116477
5368600,0.06,32.76558,0.5,0.7149,0.000200179267958,0.00431140818239
5368600,0.06,32.76558,0.75,0.7149,0.000200179267958,0.00566815882314
5368600,0.06,32.76558,1.0,0.7149,0.000200179267958,0.00679367429171
5368600,0.06,32.76558,1.25,0.7149,0.000200179267958,0.00774675452774
5368600,0.06,32.76558,1.5,0.7149,0.000200179267958,0.00856590478843
5368600,0.06,32.76558,1.75,0.7149,0.000200179267958,0.00927828584383
5368600,0.06,32.76558,2.0,0.7149,0.000200179267958,0.00990389845818
3285021,0.06,32.76558,0.05,0.5725,0.000168631206035,0.000748827927903
3285021,0.06,32.76558,0.25,0.5725,0.000168631206035,0.00245307703614
3285021,0.06,32.76558,0.5,0.5725,0.000168631206035,0.0039847471459
3285021,0.06,32.76558,0.75,0.5725,0.000168631206035,0.00518429492064
3285021,0.06,32.76558,1.0,0.5725,0.000168631206035,0.00616469372404
3285021,0.06,32.76558,1.25,0.5725,0.000168631206035,0.00698529963866
3285021,0.06,32.76558,1.5,0.5725,0.000168631206035,0.00768383019719
3285021,0.06,32.76558,1.75,0.5725,0.000168631206035,0.00828633505822
3285021,0.06,32.76558,2.0,0.5725,0.000168631206035,0.00881168153279
69379633,0.06,32.76558,0.05,0.3328,0.000110100884456,0.000839441985396
69379633,0.06,32.76558,0.25,0.3328,0.000110100884456,0.00247007157545
69379633,0.06,32.76558,0.5,0.3328,0.000110100884456,0.00370147042347
69379633,0.06,32.76558,0.75,0.3328,0.000110100884456,0.00457207292708
69379633,0.06,32.76558,1.0,0.3328,0.000110100884456,0.00523880519231
69379633,0.06,32.76558,1.25,0.3328,0.000110100884456,0.00577116673731
69379633,0.06,32.76558,1.5,0.3328,0.000110100884456,0.00620805043727
69379633,0.06,32.76558,1.75,0.3328,0.000110100884456,0.00657388792675
69379633,0.06,32.76558,2.0,0.3328,0.000110100884456,0.00688512184523
56540180,0.06,32.76558,0.05,0.3578,0.000115470243292,0.000932741263155
56540180,0.06,32.76558,0.25,0.3578,0.000115470243292,0.00277679859201
56540180,0.06,32.76558,0.5,0.3578,0.000115470243292,0.00416802627036
56540180,0.06,32.76558,0.75,0.3578,0.000115470243292,0.00513325628886
56540180,0.06,32.76558,1.0,0.3578,0.000115470243292,0.00585709471418
56540180,0.06,32.76558,1.25,0.3578,0.000115470243292,0.00642445907233
56540180,0.06,32.76558,1.5,0.3578,0.000115470243292,0.00688284880683
56540180,0.06,32.76558,1.75,0.3578,0.000115470243292,0.00726167996807
