seed,primary_length (m),k (10-8 m/s/MPa),ax,length (m),surface (m2),Jv (uL/s)
70087985,0.07,40.956975,1.0,0.3703,0.000122984178937,0.00646770197904
70087985,0.07,49.14837,1.0,0.3703,0.000122984178937,0.00710051505979
70087985,0.07,57.339765,1.0,0.3703,0.000122984178937,0.00765806152811
70087985,0.07,65.53116,1.0,0.3703,0.000122984178937,0.00815707556743
35615948,0.07,1.638279,1.0,0.5479,0.000169304135181,0.000779620976504
35615948,0.07,8.191395,1.0,0.5479,0.000169304135181,0.0031458601978
35615948,0.07,16.38279,1.0,0.5479,0.000169304135181,0.00514191741453
35615948,0.07,24.574185,1.0,0.5479,0.000169304135181,0.00658305159054
35615948,0.07,32.76558,1.0,0.5479,0.000169304135181,0.00770253435638
35615948,0.07,40.956975,1.0,0.5479,0.000169304135181,0.00861393734901
35615948,0.07,49.14837,1.0,0.5479,0.000169304135181,0.00938053237973
35615948,0.07,57.339765,1.0,0.5479,0.000169304135181,0.0100409670905
35615948,0.07,65.53116,1.0,0.5479,0.000169304135181,0.0106204793291
75024537,0.07,1.638279,1.0,0.4952,0.00015964606255,0.000716138553576
75024537,0.07,8.191395,1.0,0.4952,0.00015964606255,0.00269568185259
75024537,0.07,16.38279,1.0,0.4952,0.00015964606255,0.00420727467169
75024537,0.07,24.574185,1.0,0.4952,0.00015964606255,0.00524929598308
75024537,0.07,32.76558,1.0,0.4952,0.00015964606255,0.00604707028592
75024537,0.07,40.956975,1.0,0.4952,0.00015964606255,0.0066964635615
75024537,0.07,49.14837,1.0,0.4952,0.00015964606255,0.00724626794355
75024537,0.07,57.339765,1.0,0.4952,0.00015964606255,0.00772449517288
75024537,0.07,65.53116,1.0,0.4952,0.00015964606255,0.00814867777804
42360325,0.08,1.638279,1.0,1.2271,0.000330609869714,0.00145304810985
42360325,0.08,8.191395,1.0,1.2271,0.000330609869714,0.00519034330217
42360325,0.08,16.38279,1.0,1.2271,0.000330609869714,0.00780222871308
42360325,0.08,24.574185,1.0,1.2271,0.000330609869714,0.00948700597695
42360325,0.08,32.76558,1.0,1.2271,0.000330609869714,0.010711698885
42360325,0.08,40.956975,1.0,1.2271,0.000330609869714,0.011666167638
42360325,0.08,49.14837,1.0,1.2271,0.000330609869714,0.0124446154852
42360325,0.08,57.339765,1.0,1.2271,0.000330609869714,0.0131001067531
42360325,0.08,65.53116,1.0,1.2271,0.000330609869714,0.0136652784884
83745811,0.08,1.638279,1.0,0.6758,0.000201586701467,0.000873748719444
83745811,0.08,8.191395,1.0,0.6758,0.000201586701467,0.0030450701513
83745811,0.08,16.38279,1.0,0.6758,0.000201586701467,0.00455819501972
83745811,0.08,24.574185,1.0,0.6758,0.000201586701467,0.00556918725085
83745811,0.08,32.76558,1.0,0.6758,0.000201586701467,0.00633710476828
83745811,0.08,40.956975,1.0,0.6758,0.000201586701467,0.00696199949185
83745811,0.08,49.14837,1.0,0.6758,0.000201586701467,0.00749243023427
83745811,0.08,57.339765,1.0,0.6758,0.000201586701467,0.00795558617858
83745811,0.08,65.53116,1.0,0.6758,0.000201586701467,0.00836824620468
63415008,0.08,1.638279,1.0,0.8045,0.000230514737948,0.00101829660258
63415008,0.08,8.191395,1.0,0.8045,0.000230514737948,0.00370364603683
63415008,0.08,16.38279,1.0,0.8045,0.000230514737948,0.00566907797161
63415008,0.08,24.574185,1.0,0.8045,0.000230514737948,0.00699744117981
63415008,0.08,32.76558,1.0,0.8045,0.000230514737948,0.0080045234541
63415008,0.08,40.956975,1.0,0.8045,0.000230514737948,0.00882012148923
63415008,0.08,49.14837,1.0,0.8045,0.000230514737948,0.00950910805288
63415008,0.08,57.339765,1.0,0.8045,0.000230514737948,0.010108231834
63415008,0.08,65.53116,1.0,0.8045,0.000230514737948,0.0106402185215
26602451,0.08,1.638279,1.0,0.6948,0.000205718398461,0.000892272019541
26602451,0.08,8.191395,1.0,0.6948,0.000205718398461,0.00310183124676
26602451,0.08,16.38279,1.0,0.6948,0.000205718398461,0.00462139554076
