,ax,1 mm,20 mm,40 mm,65 mm,100 mm,120 mm,125 mm,130 mm,135 mm,140 mm,145 mm,150 mm,155 mm,base
1834,0.5,0.150401051969,0.160328767924,0.174912586216,0.211977756848,0.318647069376,0.387818352147,0.416930615518,0.427237219369,0.458189364108,0.488298804032,0.522134157508,0.554743857469,0.604546946109,0.628104861447
1835,0.25,0.0122437132687,0.0147652300969,0.0188714145976,0.0312633236005,0.0817251329,0.131604633773,0.152939547088,0.162895497099,0.189446845865,0.217374719506,0.254827144451,0.290135422064,0.349987828736,0.378981889158
1836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1837,0.75,0.490580024681,0.501233671609,0.517515431406,0.564438787727,0.653006050616,0.689744619898,0.70768496207,0.715386346366,0.734918053365,0.751909347084,0.775975351116,0.793375876243,0.819848066397,0.830595018788
1838,0.5,0.152411751763,0.162472190569,0.178411315495,0.227970968532,0.338903942769,0.393146096782,0.419422210806,0.431967497941,0.460290430752,0.487829978809,0.529331013453,0.560687699337,0.609277399836,0.629597789709
1839,0.25,0.0122701456269,0.0147971060353,0.0192430204876,0.0362921496266,0.0948952949657,0.136410680124,0.156401358796,0.168264697863,0.190510962937,0.215986927183,0.258837839447,0.295135458779,0.353623294772,0.379635499694
1840,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1841,0.75,0.4947513434,0.505495576479,0.521702615032,0.559243475409,0.643494799983,0.692006697944,0.710665688912,0.721001182985,0.736338865722,0.750928057793,0.768885237521,0.788636735982,0.807142561233,0.822794329553
1842,0.5,0.155888057687,0.166177961496,0.182271520534,0.222093120234,0.324800828035,0.393601357772,0.422070748658,0.437748247038,0.463516359805,0.488778730404,0.519266664576,0.554231368626,0.588165009179,0.616902029958
1843,0.25,0.0129449156424,0.0156108407515,0.0202432239445,0.0340363151599,0.085006538857,0.13294244323,0.155755404824,0.168503647512,0.193659539222,0.220005766621,0.252113037134,0.290961787584,0.332021201781,0.366660807837
1844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1845,0.75,0.484736532271,0.495263279402,0.510189196301,0.545552812123,0.635601037554,0.6770336664,0.693259614693,0.710672666145,0.730574105829,0.747239421761,0.764325615447,0.783213526225,0.810428649267,0.825785379961
1846,0.5,0.147709783523,0.157459853456,0.171782709676,0.207971350171,0.314561420206,0.372850256106,0.396910898629,0.423272642374,0.455307491982,0.48081750358,0.51070225779,0.543740228292,0.591649384294,0.620964405387
1847,0.25,0.0115003224415,0.0138687425383,0.0177256154269,0.0294020977946,0.0794990747586,0.119632089578,0.138157688929,0.15927078512,0.188444281339,0.210580571815,0.242349241779,0.27798796155,0.332037033101,0.369531647981
1848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1849,0.75,0.502169970492,0.51307530967,0.528538033747,0.573386646257,0.661911390791,0.715503750066,0.735294984437,0.745999214792,0.763754775663,0.774783391268,0.797663972908,0.819369459741,0.840813757443,0.845378770844
1850,0.5,0.15968736675,0.170228056446,0.185712333382,0.23366611614,0.345551205676,0.425223918345,0.456040232187,0.474260139665,0.505300162194,0.525090363987,0.565907303745,0.606146228589,0.646335215692,0.656322766654
1851,0.25,0.0130381253098,0.0157232463719,0.0200958535123,0.0363600910939,0.0942361547108,0.153494305435,0.178780103629,0.196796025913,0.229205518458,0.251124234256,0.295985937222,0.343966012096,0.393777373394,0.410316533915
1852,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1853,0.75,0.479722525882,0.490140386692,0.505427613506,0.543261435555,0.637124946008,0.689433280145,0.709777609374,0.72112979553,0.743999435605,0.758860076377,0.781773829674,0.801881713087,0.824697275547,0.828292833612
1854,0.5,0.1432628314,0.152719365637,0.167102908408,0.205178026712,0.315715036235,0.389758593436,0.420525153408,0.438243912229,0.474928782751,0.499310497396,0.539161286896,0.575185055556,0.61860731748,0.626321628796
1855,0.25,0.0106291042919,0.0128181024129,0.0165140761176,0.0283266343398,0.0795116009204,0.130370626927,0.154784362185,0.169913066434,0.203053731489,0.226840942183,0.269225139348,0.309804893452,0.365320810154,0.377755786573
1856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1857,0.75,0.488242131061,0.498845007284,0.514403726741,0.563590103945,0.6462320296,0.691256820342,0.712245640344,0.720560563167,0.745224289491,0.756223178915,0.779746170654,0.795758489049,0.821740174668,0.825587334801
1858,0.5,0.149822536947,0.159712066116,0.174754201241,0.226047885127,0.328358733944,0.392613358397,0.424762756809,0.438381651917,0.476835596932,0.495966044449,0.535025259166,0.563077552413,0.611788337106,0.619983208792
1859,0.25,0.0116410667416,0.0140384722544,0.0180863275947,0.0351063395793,0.087244678011,0.132644446003,0.158820667603,0.17172831727,0.204799204541,0.22507931932,0.263880107703,0.294824434907,0.354716909238,0.367637656707
1860,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1861,0.75,0.480487380939,0.490921851672,0.506710372765,0.544967232899,0.62963573786,0.675563234393,0.697866297782,0.711002673209,0.729485747964,0.748578201085,0.773613306122,0.783097442171,0.818460407166,0.8272982147
1862,0.5,0.144863072589,0.154425236007,0.169426608175,0.208314479591,0.308085565903,0.372323231013,0.403111243021,0.423021522395,0.453191670949,0.483582623354,0.524989124574,0.543020001224,0.607313765701,0.625146252882
1863,0.25,0.0111172474235,0.0134067755956,0.0173970164006,0.0298936815418,0.0766942828721,0.120572218125,0.141840695081,0.158104254895,0.186141447936,0.213545216572,0.254223711664,0.276890416006,0.351984615589,0.377042333005
1864,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1865,0.75,0.480633106423,0.491070741792,0.505870306768,0.553495982558,0.64174372086,0.70167949737,0.71007909014,0.7289534044,0.747389038249,0.759159140225,0.775569517613,0.792408757804,0.819496637064,0.826829732549
1866,0.5,0.144949625344,0.15451750196,0.168572716135,0.217308992608,0.324593761678,0.409602701158,0.423213623034,0.451391768813,0.481961685118,0.503041543936,0.531586178725,0.561588641151,0.611349175191,0.626579807835
1867,0.25,0.0110555481493,0.0133323697386,0.0170400782957,0.0328525988913,0.0864149354246,0.145939822309,0.158529570685,0.181388153136,0.210565019584,0.23405112343,0.265635937859,0.300395644634,0.360629287299,0.38356357755
1868,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
